geolocation_name,quarter_label,year,deflated_gdp_usd,us_cpi,landlocked,access_to_airport,access_to_port,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
21,3,2024,3928801383782.808,144.403145070865,0,1,1,1,500.0,3,1,2,1,3,sentinel_2_36000_tokushima_2024-Q3.tif,viirs_36000_tokushima_2024-Q3.tif,1523.5489879188451
22,3,2021,4247588558872.2593,125.4848727349994,0,1,1,1,500.0,2,1,2,1,3,sentinel_2_31000_tottori_2021-Q3.tif,viirs_31000_tottori_2021-Q3.tif,1894.530285958593
14,1,2021,4247588558872.2593,120.6838014481023,0,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2021-Q1.tif,viirs_03000_iwate_2021-Q1.tif,1921.0423046521275
17,3,2023,3993446887350.673,140.714328844415,0,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2023-Q3.tif,viirs_39000_kochi_2023-Q3.tif,1709.715510686194
26,2,2023,3993446887350.673,139.5056151606663,1,0,0,1,100.0,3,0,1,1,3,sentinel_2_10000_gunma_2023-Q2.tif,viirs_10000_gunma_2023-Q2.tif,1459.5649435230368
27,1,2022,3880440088794.578,130.2983261906564,0,0,1,1,320.0,2,1,1,0,3,sentinel_2_18000_fukui_2022-Q1.tif,viirs_18000_fukui_2022-Q1.tif,1714.0184827186436
8,3,2020,4069008481605.98,119.1285399053605,1,0,0,1,270.0,2,1,1,1,3,sentinel_2_21000_gifu_2020-Q3.tif,viirs_21000_gifu_2020-Q3.tif,1967.020623488982
31,3,2022,3880440088794.578,135.9371046973515,1,1,0,1,22.5,2,1,2,1,3,sentinel_2_11000_saitama_2022-Q3.tif,viirs_11000_saitama_2022-Q3.tif,1391.3593998260085
27,2,2024,3928801383782.808,143.9682405014625,0,0,1,1,320.0,2,1,1,1,3,sentinel_2_18000_fukui_2024-Q2.tif,viirs_18000_fukui_2024-Q2.tif,1503.0610503651835
35,1,2024,3928801383782.808,142.3299725681459,0,1,1,1,650.0,2,1,2,1,3,sentinel_2_32000_shimane_2024-Q1.tif,viirs_32000_shimane_2024-Q1.tif,2635.3867973524257
37,2,2020,4069008481605.98,117.7956988014519,0,1,1,1,575.0,2,1,1,0,5,sentinel_2_02000_aomori_2020-Q2.tif,viirs_02000_aomori_2020-Q2.tif,1839.9102721070085
12,4,2021,4247588558872.2593,127.389433729792,0,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2021-Q4.tif,viirs_46000_kagoshima_2021-Q4.tif,1740.9545318857506
38,3,2023,3993446887350.673,140.714328844415,0,1,1,1,540.0,2,1,1,1,3,sentinel_2_33000_okayama_2023-Q3.tif,viirs_33000_okayama_2023-Q3.tif,1796.7345619939686
12,3,2024,3928801383782.808,144.403145070865,0,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2024-Q3.tif,viirs_46000_kagoshima_2024-Q3.tif,1741.3021307805875
40,4,2021,4247588558872.2593,127.389433729792,0,1,1,1,0.0,3,1,2,1,3,sentinel_2_13000_tokyo_2021-Q4.tif,viirs_13000_tokyo_2021-Q4.tif,2726.1217521559074
44,4,2019,4070264756531.522,117.9406160358257,0,1,1,1,430.0,3,1,2,1,3,sentinel_2_28000_hyogo_2019-Q4.tif,viirs_28000_hyogo_2019-Q4.tif,1856.066182284886
45,2,2019,4070264756531.522,117.3681318135368,1,0,0,1,110.0,2,0,2,1,3,sentinel_2_19000_yamanashi_2019-Q2.tif,viirs_19000_yamanashi_2019-Q2.tif,1816.875956200879
22,4,2024,3928801383782.808,144.7279859179582,0,1,1,1,500.0,2,0,1,1,3,sentinel_2_31000_tottori_2024-Q4.tif,viirs_31000_tottori_2024-Q4.tif,1705.0237038929438
14,2,2023,3993446887350.673,139.5056151606663,0,1,1,1,450.0,3,1,1,0,5,sentinel_2_03000_iwate_2023-Q2.tif,viirs_03000_iwate_2023-Q2.tif,1528.038494165825
26,4,2022,3880440088794.578,136.4362131047677,1,0,0,1,100.0,3,0,1,1,3,sentinel_2_10000_gunma_2022-Q4.tif,viirs_10000_gunma_2022-Q4.tif,1516.243223607638
53,3,2020,4069008481605.98,119.1285399053605,0,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2020-Q3.tif,viirs_15000_niigata_2020-Q3.tif,2161.465206387008
54,1,2020,4069008481605.98,118.4352913210933,1,1,0,1,300.0,2,1,2,1,5,sentinel_2_06000_yamagata_2020-Q1.tif,viirs_06000_yamagata_2020-Q1.tif,1563.5068390058025
55,3,2021,4247588558872.2593,125.4848727349994,0,0,1,1,450.0,3,1,3,1,3,sentinel_2_30000_wakayama_2021-Q3.tif,viirs_30000_wakayama_2021-Q3.tif,1672.058748832966
56,4,2021,4247588558872.2593,127.389433729792,0,1,1,1,37.5,3,1,3,1,3,sentinel_2_12000_chiba_2021-Q4.tif,viirs_12000_chiba_2021-Q4.tif,1717.3267665699152
57,2,2023,3993446887350.673,139.5056151606663,1,0,0,1,370.0,2,0,2,1,3,sentinel_2_26000_kyoto_2023-Q2.tif,viirs_26000_kyoto_2023-Q2.tif,1642.8214643453375
27,1,2021,4247588558872.2593,120.6838014481023,0,0,1,1,320.0,2,1,2,1,3,sentinel_2_18000_fukui_2021-Q1.tif,viirs_18000_fukui_2021-Q1.tif,1790.093932963981
17,4,2021,4247588558872.2593,127.389433729792,0,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2021-Q4.tif,viirs_39000_kochi_2021-Q4.tif,1932.8107413918208
58,3,2019,4070264756531.522,117.6899153350103,0,0,1,1,320.0,3,1,3,1,3,sentinel_2_24000_mie_2019-Q3.tif,viirs_24000_mie_2019-Q3.tif,1793.813494187579
59,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,770.0,2,1,2,1,3,sentinel_2_44000_oita_2021-Q2.tif,viirs_44000_oita_2021-Q2.tif,1768.709367079818
60,2,2020,4069008481605.98,117.7956988014519,1,0,0,1,340.0,2,1,1,1,3,sentinel_2_25000_shiga_2020-Q2.tif,viirs_25000_shiga_2020-Q2.tif,1972.2314753131195
61,2,2023,3993446887350.673,139.5056151606663,0,1,1,1,680.0,2,1,2,1,3,sentinel_2_34000_hiroshima_2023-Q2.tif,viirs_34000_hiroshima_2023-Q2.tif,1849.713710608573
59,4,2024,3928801383782.808,144.7279859179582,0,1,1,1,770.0,2,0,2,0,3,sentinel_2_44000_oita_2024-Q4.tif,viirs_44000_oita_2024-Q4.tif,1698.0829381490391
57,1,2024,3928801383782.808,142.3299725681459,1,0,0,1,370.0,2,0,2,1,3,sentinel_2_26000_kyoto_2024-Q1.tif,viirs_26000_kyoto_2024-Q1.tif,2092.092230168884
21,2,2023,3993446887350.673,139.5056151606663,0,1,1,1,500.0,3,1,3,1,3,sentinel_2_36000_tokushima_2023-Q2.tif,viirs_36000_tokushima_2023-Q2.tif,1652.0022150707084
1,3,2024,3928801383782.808,144.403145070865,1,0,0,1,370.0,2,1,1,0,3,sentinel_2_29000_nara_2024-Q3.tif,viirs_29000_nara_2024-Q3.tif,1638.3824307765854
61,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,680.0,2,1,2,1,3,sentinel_2_34000_hiroshima_2023-Q1.tif,viirs_34000_hiroshima_2023-Q1.tif,1688.2958645160948
12,1,2019,4070264756531.522,115.9781187205398,0,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2019-Q1.tif,viirs_46000_kagoshima_2019-Q1.tif,1610.2856795542457
66,2,2019,4070264756531.522,117.3681318135368,0,1,1,1,800.0,2,1,2,1,3,sentinel_2_35000_yamaguchi_2019-Q2.tif,viirs_35000_yamaguchi_2019-Q2.tif,1921.946839254708
53,1,2021,4247588558872.2593,120.6838014481023,0,1,1,1,250.0,2,1,2,1,3,sentinel_2_15000_niigata_2021-Q1.tif,viirs_15000_niigata_2021-Q1.tif,1744.4765098953744
26,4,2024,3928801383782.808,144.7279859179582,1,0,0,1,100.0,3,1,1,1,3,sentinel_2_10000_gunma_2024-Q4.tif,viirs_10000_gunma_2024-Q4.tif,1610.3354322622845
53,4,2022,3880440088794.578,136.4362131047677,0,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2022-Q4.tif,viirs_15000_niigata_2022-Q4.tif,1529.319958549199
14,2,2024,3928801383782.808,143.9682405014625,0,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2024-Q2.tif,viirs_03000_iwate_2024-Q2.tif,1438.2791821231256
15,3,2020,4069008481605.98,119.1285399053605,0,1,1,1,1200.0,2,1,3,1,3,sentinel_2_42000_nagasaki_2020-Q3.tif,viirs_42000_nagasaki_2020-Q3.tif,2759.149129538569
60,1,2019,4070264756531.522,115.9781187205398,1,0,0,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2019-Q1.tif,viirs_25000_shiga_2019-Q1.tif,1536.5560819964348
68,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,1550.0,2,1,3,1,3,sentinel_2_47000_okinawa_2021-Q2.tif,viirs_47000_okinawa_2021-Q2.tif,2693.688816100626
60,2,2023,3993446887350.673,139.5056151606663,1,0,0,1,340.0,2,1,1,1,3,sentinel_2_25000_shiga_2023-Q2.tif,viirs_25000_shiga_2023-Q2.tif,1556.198522937697
2,4,2022,3880440088794.578,136.4362131047677,0,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2022-Q4.tif,viirs_05000_akita_2022-Q4.tif,1360.5407756331736
53,3,2023,3993446887350.673,140.714328844415,0,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2023-Q3.tif,viirs_15000_niigata_2023-Q3.tif,1652.351729770047
60,1,2021,4247588558872.2593,120.6838014481023,1,0,0,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2021-Q1.tif,viirs_25000_shiga_2021-Q1.tif,1947.4680983015628
60,4,2024,3928801383782.808,144.7279859179582,1,0,0,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2024-Q4.tif,viirs_25000_shiga_2024-Q4.tif,1451.6760268999146
2,4,2019,4070264756531.522,117.9406160358257,0,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2019-Q4.tif,viirs_05000_akita_2019-Q4.tif,1654.4130016501765
45,2,2024,3928801383782.808,143.9682405014625,1,0,0,1,110.0,2,0,1,0,3,sentinel_2_19000_yamanashi_2024-Q2.tif,viirs_19000_yamanashi_2024-Q2.tif,2075.1754326184027
57,4,2021,4247588558872.2593,127.389433729792,1,1,0,1,370.0,2,0,2,0,3,sentinel_2_26000_kyoto_2021-Q4.tif,viirs_26000_kyoto_2021-Q4.tif,1894.8936548010813
35,2,2019,4070264756531.522,117.3681318135368,0,1,1,1,650.0,2,1,2,1,3,sentinel_2_32000_shimane_2019-Q2.tif,viirs_32000_shimane_2019-Q2.tif,1693.2548833215735
69,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,900.0,2,1,2,1,3,sentinel_2_41000_saga_2023-Q1.tif,viirs_41000_saga_2023-Q1.tif,1341.7460147048464
70,3,2020,4069008481605.98,119.1285399053605,0,1,1,1,880.0,2,1,2,1,3,sentinel_2_40000_fukuoka_2020-Q3.tif,viirs_40000_fukuoka_2020-Q3.tif,1921.7029306321228
70,4,2020,4069008481605.98,119.4024762808857,0,1,1,1,880.0,2,1,2,1,3,sentinel_2_40000_fukuoka_2020-Q4.tif,viirs_40000_fukuoka_2020-Q4.tif,1931.381807050956
1,3,2020,4069008481605.98,119.1285399053605,1,0,0,1,370.0,2,1,1,1,3,sentinel_2_29000_nara_2020-Q3.tif,viirs_29000_nara_2020-Q3.tif,2376.281377872221
22,4,2020,4069008481605.98,119.4024762808857,0,1,1,1,500.0,2,1,2,1,3,sentinel_2_31000_tottori_2020-Q4.tif,viirs_31000_tottori_2020-Q4.tif,1769.612951596597
72,4,2024,3928801383782.808,144.7279859179582,0,1,1,1,540.0,2,0,2,0,3,sentinel_2_37000_kagawa_2024-Q4.tif,viirs_37000_kagawa_2024-Q4.tif,1866.2107457228308
73,1,2020,4069008481605.98,118.4352913210933,1,0,0,1,100.0,2,1,2,1,3,sentinel_2_09000_tochigi_2020-Q1.tif,viirs_09000_tochigi_2020-Q1.tif,1814.613950397328
40,3,2023,3993446887350.673,140.714328844415,0,1,1,1,0.0,3,1,2,1,3,sentinel_2_13000_tokyo_2023-Q3.tif,viirs_13000_tokyo_2023-Q3.tif,2432.790545293574
11,4,2020,4069008481605.98,119.4024762808857,0,1,1,1,870.0,2,1,3,1,3,sentinel_2_45000_miyazaki_2020-Q4.tif,viirs_45000_miyazaki_2020-Q4.tif,2193.755303244855
54,1,2021,4247588558872.2593,120.6838014481023,0,1,0,1,300.0,2,1,1,1,5,sentinel_2_06000_yamagata_2021-Q1.tif,viirs_06000_yamagata_2021-Q1.tif,2082.7015825700746
59,3,2023,3993446887350.673,140.714328844415,0,1,1,1,770.0,2,1,2,1,3,sentinel_2_44000_oita_2023-Q3.tif,viirs_44000_oita_2023-Q3.tif,1675.673534349694
6,3,2021,4247588558872.2593,125.4848727349994,0,1,1,1,270.0,2,1,2,1,3,sentinel_2_17000_ishikawa_2021-Q3.tif,viirs_17000_ishikawa_2021-Q3.tif,1716.6803875044377
77,3,2024,3928801383782.808,144.403145070865,1,1,0,1,180.0,2,1,1,0,5,sentinel_2_20000_nagano_2024-Q3.tif,viirs_20000_nagano_2024-Q3.tif,2044.0444293039195
70,1,2021,4247588558872.2593,120.6838014481023,0,1,1,1,880.0,2,1,2,1,3,sentinel_2_40000_fukuoka_2021-Q1.tif,viirs_40000_fukuoka_2021-Q1.tif,1769.5968198930811
66,3,2023,3993446887350.673,140.714328844415,0,1,1,1,800.0,2,0,2,0,3,sentinel_2_35000_yamaguchi_2023-Q3.tif,viirs_35000_yamaguchi_2023-Q3.tif,1756.481975425586
73,1,2024,3928801383782.808,142.3299725681459,1,0,0,1,100.0,2,1,1,0,3,sentinel_2_09000_tochigi_2024-Q1.tif,viirs_09000_tochigi_2024-Q1.tif,1938.358836776824
59,3,2019,4070264756531.522,117.6899153350103,0,1,1,1,770.0,2,1,3,1,3,sentinel_2_44000_oita_2019-Q3.tif,viirs_44000_oita_2019-Q3.tif,1610.3869393850373
40,4,2023,3993446887350.673,140.8613862067226,0,1,1,1,0.0,3,1,2,1,3,sentinel_2_13000_tokyo_2023-Q4.tif,viirs_13000_tokyo_2023-Q4.tif,2829.2083958462053
68,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,1550.0,2,1,3,1,3,sentinel_2_47000_okinawa_2023-Q1.tif,viirs_47000_okinawa_2023-Q1.tif,2039.013357560185
16,1,2021,4247588558872.2593,120.6838014481023,0,1,1,1,260.0,2,1,2,1,3,sentinel_2_16000_toyama_2021-Q1.tif,viirs_16000_toyama_2021-Q1.tif,1710.102075926499
81,1,2020,4069008481605.98,118.4352913210933,0,1,1,1,260.0,3,1,3,1,3,sentinel_2_23000_aichi_2020-Q1.tif,viirs_23000_aichi_2020-Q1.tif,1916.171582606475
81,3,2021,4247588558872.2593,125.4848727349994,0,1,1,1,260.0,3,1,2,1,3,sentinel_2_23000_aichi_2021-Q3.tif,viirs_23000_aichi_2021-Q3.tif,1836.5374614067705
73,4,2023,3993446887350.673,140.8613862067226,1,0,0,1,100.0,2,1,2,1,3,sentinel_2_09000_tochigi_2023-Q4.tif,viirs_09000_tochigi_2023-Q4.tif,1452.874924912213
15,3,2019,4070264756531.522,117.6899153350103,0,1,1,1,1200.0,2,1,3,1,3,sentinel_2_42000_nagasaki_2019-Q3.tif,viirs_42000_nagasaki_2019-Q3.tif,2025.230189935398
17,3,2022,3880440088794.578,135.9371046973515,0,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2022-Q3.tif,viirs_39000_kochi_2022-Q3.tif,1430.4411020528048
55,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,450.0,3,1,3,1,3,sentinel_2_30000_wakayama_2023-Q1.tif,viirs_30000_wakayama_2023-Q1.tif,1631.0344822036525
16,3,2022,3880440088794.578,135.9371046973515,0,1,1,1,260.0,2,0,1,0,3,sentinel_2_16000_toyama_2022-Q3.tif,viirs_16000_toyama_2022-Q3.tif,1521.1060910385245
2,4,2023,3993446887350.673,140.8613862067226,0,1,1,1,450.0,2,0,1,0,5,sentinel_2_05000_akita_2023-Q4.tif,viirs_05000_akita_2023-Q4.tif,1896.6516221621664
88,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,30.0,3,1,2,1,3,sentinel_2_14000_kanagawa_2021-Q2.tif,viirs_14000_kanagawa_2021-Q2.tif,2000.970977449525
27,4,2019,4070264756531.522,117.9406160358257,0,0,1,1,320.0,2,1,1,1,3,sentinel_2_18000_fukui_2019-Q4.tif,viirs_18000_fukui_2019-Q4.tif,1977.884515222724
1,1,2021,4247588558872.2593,120.6838014481023,1,0,0,1,370.0,2,1,2,1,3,sentinel_2_29000_nara_2021-Q1.tif,viirs_29000_nara_2021-Q1.tif,1910.2075557189337
26,1,2020,4069008481605.98,118.4352913210933,1,0,0,1,100.0,3,0,2,1,3,sentinel_2_10000_gunma_2020-Q1.tif,viirs_10000_gunma_2020-Q1.tif,1440.9007554744433
27,3,2022,3880440088794.578,135.9371046973515,0,0,1,1,320.0,2,1,1,0,3,sentinel_2_18000_fukui_2022-Q3.tif,viirs_18000_fukui_2022-Q3.tif,1460.1079331778092
54,1,2019,4070264756531.522,115.9781187205398,1,1,0,1,300.0,2,1,2,1,5,sentinel_2_06000_yamagata_2019-Q1.tif,viirs_06000_yamagata_2019-Q1.tif,2007.7603733742217
8,3,2022,3880440088794.578,135.9371046973515,1,0,0,1,270.0,2,1,2,1,3,sentinel_2_21000_gifu_2022-Q3.tif,viirs_21000_gifu_2022-Q3.tif,1498.2498643980755
38,1,2024,3928801383782.808,142.3299725681459,0,1,1,1,540.0,2,1,1,1,3,sentinel_2_33000_okayama_2024-Q1.tif,viirs_33000_okayama_2024-Q1.tif,1585.2076424388715
54,4,2022,3880440088794.578,136.4362131047677,1,1,0,1,300.0,2,0,1,0,5,sentinel_2_06000_yamagata_2022-Q4.tif,viirs_06000_yamagata_2022-Q4.tif,1395.479197412881
60,4,2019,4070264756531.522,117.9406160358257,1,0,0,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2019-Q4.tif,viirs_25000_shiga_2019-Q4.tif,1728.07901067026
56,2,2023,3993446887350.673,139.5056151606663,0,1,1,1,37.5,3,1,3,1,3,sentinel_2_12000_chiba_2023-Q2.tif,viirs_12000_chiba_2023-Q2.tif,1786.992804281524
7,4,2022,3880440088794.578,136.4362131047677,0,1,1,1,150.0,3,1,2,1,3,sentinel_2_22000_shizuoka_2022-Q4.tif,viirs_22000_shizuoka_2022-Q4.tif,1765.647416318962
77,1,2021,4247588558872.2593,120.6838014481023,1,1,0,1,180.0,2,0,1,0,5,sentinel_2_20000_nagano_2021-Q1.tif,viirs_20000_nagano_2021-Q1.tif,1738.067485733361
73,3,2023,3993446887350.673,140.714328844415,1,0,0,1,100.0,2,1,2,1,3,sentinel_2_09000_tochigi_2023-Q3.tif,viirs_09000_tochigi_2023-Q3.tif,1558.5728529462592
2,2,2022,3880440088794.578,134.1731806810651,0,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2022-Q2.tif,viirs_05000_akita_2022-Q2.tif,1281.0805098609164
88,1,2022,3880440088794.578,130.2983261906564,0,1,1,1,30.0,3,1,3,1,3,sentinel_2_14000_kanagawa_2022-Q1.tif,viirs_14000_kanagawa_2022-Q1.tif,1918.0501338439483
61,3,2022,3880440088794.578,135.9371046973515,0,1,1,1,680.0,2,0,2,1,3,sentinel_2_34000_hiroshima_2022-Q3.tif,viirs_34000_hiroshima_2022-Q3.tif,1598.525563719086
31,4,2020,4069008481605.98,119.4024762808857,1,0,0,1,22.5,2,1,2,1,3,sentinel_2_11000_saitama_2020-Q4.tif,viirs_11000_saitama_2020-Q4.tif,1917.914856391547
53,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2023-Q1.tif,viirs_15000_niigata_2023-Q1.tif,1723.0002782799268
10,2,2020,4069008481605.98,117.7956988014519,0,1,1,1,900.0,3,1,2,1,3,sentinel_2_43000_kumamoto_2020-Q2.tif,viirs_43000_kumamoto_2020-Q2.tif,3471.8989871316144
77,4,2022,3880440088794.578,136.4362131047677,1,1,0,1,180.0,2,0,1,0,5,sentinel_2_20000_nagano_2022-Q4.tif,viirs_20000_nagano_2022-Q4.tif,1684.4993052130064
55,4,2021,4247588558872.2593,127.389433729792,0,0,1,1,450.0,3,1,3,1,3,sentinel_2_30000_wakayama_2021-Q4.tif,viirs_30000_wakayama_2021-Q4.tif,1817.143245226796
68,3,2019,4070264756531.522,117.6899153350103,0,1,1,0,1550.0,2,1,3,0,3,sentinel_2_47000_okinawa_2019-Q3.tif,viirs_47000_okinawa_2019-Q3.tif,2454.5800142470803
81,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,260.0,3,1,2,1,3,sentinel_2_23000_aichi_2023-Q1.tif,viirs_23000_aichi_2023-Q1.tif,1589.4074562368085
16,2,2024,3928801383782.808,143.9682405014625,0,1,1,1,260.0,2,1,1,1,3,sentinel_2_16000_toyama_2024-Q2.tif,viirs_16000_toyama_2024-Q2.tif,1565.4901260613883
40,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,0.0,3,1,2,1,3,sentinel_2_13000_tokyo_2021-Q2.tif,viirs_13000_tokyo_2021-Q2.tif,2930.1305209631028
98,1,2023,3993446887350.673,137.8618440412342,0,1,1,1,670.0,2,1,2,1,3,sentinel_2_38000_ehime_2023-Q1.tif,viirs_38000_ehime_2023-Q1.tif,1535.6909141317385
38,4,2019,4070264756531.522,117.9406160358257,0,1,1,1,540.0,2,1,2,1,3,sentinel_2_33000_okayama_2019-Q4.tif,viirs_33000_okayama_2019-Q4.tif,1771.7628985217898
88,1,2020,4069008481605.98,118.4352913210933,0,1,1,1,30.0,3,1,1,1,3,sentinel_2_14000_kanagawa_2020-Q1.tif,viirs_14000_kanagawa_2020-Q1.tif,2081.1098733049757
10,3,2021,4247588558872.2593,125.4848727349994,0,1,1,1,900.0,3,1,3,1,3,sentinel_2_43000_kumamoto_2021-Q3.tif,viirs_43000_kumamoto_2021-Q3.tif,1814.2449980068875
16,3,2020,4069008481605.98,119.1285399053605,0,1,1,1,260.0,2,1,2,0,3,sentinel_2_16000_toyama_2020-Q3.tif,viirs_16000_toyama_2020-Q3.tif,1997.0280810200816
58,1,2019,4070264756531.522,115.9781187205398,0,0,1,1,320.0,3,1,3,1,3,sentinel_2_24000_mie_2019-Q1.tif,viirs_24000_mie_2019-Q1.tif,1649.115552629319
60,3,2020,4069008481605.98,119.1285399053605,1,0,0,1,340.0,2,1,1,1,3,sentinel_2_25000_shiga_2020-Q3.tif,viirs_25000_shiga_2020-Q3.tif,1999.5183521436832
26,2,2024,3928801383782.808,143.9682405014625,1,0,0,1,100.0,3,1,1,1,3,sentinel_2_10000_gunma_2024-Q2.tif,viirs_10000_gunma_2024-Q2.tif,1446.6609173377549
81,3,2020,4069008481605.98,119.1285399053605,0,1,1,1,260.0,3,1,3,1,3,sentinel_2_23000_aichi_2020-Q3.tif,viirs_23000_aichi_2020-Q3.tif,2057.922870448432
14,2,2019,4070264756531.522,117.3681318135368,0,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2019-Q2.tif,viirs_03000_iwate_2019-Q2.tif,1683.5974691429883
31,4,2021,4247588558872.2593,127.389433729792,1,0,0,1,22.5,2,1,1,1,3,sentinel_2_11000_saitama_2021-Q4.tif,viirs_11000_saitama_2021-Q4.tif,1693.8152610334791
59,1,2020,4069008481605.98,118.4352913210933,0,1,1,1,770.0,2,1,2,1,3,sentinel_2_44000_oita_2020-Q1.tif,viirs_44000_oita_2020-Q1.tif,2085.927851342218
22,2,2019,4070264756531.522,117.3681318135368,0,1,1,1,500.0,2,1,2,1,3,sentinel_2_31000_tottori_2019-Q2.tif,viirs_31000_tottori_2019-Q2.tif,1689.002218969555
57,3,2019,4070264756531.522,117.6899153350103,1,0,0,1,370.0,2,0,1,0,3,sentinel_2_26000_kyoto_2019-Q3.tif,viirs_26000_kyoto_2019-Q3.tif,2063.02078661569
60,4,2022,3880440088794.578,136.4362131047677,1,0,0,1,340.0,2,0,2,1,3,sentinel_2_25000_shiga_2022-Q4.tif,viirs_25000_shiga_2022-Q4.tif,1601.5506380460292
