data_id,geolocation_name,quarter_label,country,year,deflated_gdp_usd,us_cpi,developed_country,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
8EKXD,Agusan del Norte,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,Yes,Yes,Yes,No,800.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_agusan_del_norte_2020-Q3.tif,viirs_agusan_del_norte_2020-Q3.tif,206.4482223303457
MWPQ8,South Cotabato,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,Yes,Lower-middle income,Yes,No,Yes,No,1000.0,Moderate,Yes,Low,Very Low,Am,sentinel_2_south_cotabato_2021-Q2.tif,viirs_south_cotabato_2021-Q2.tif,153.4776091619691
IV9IW,Isabela,2020-Q2,Philippines,2020,291244296180.30774,117.7956988014519,No,Yes,Lower-middle income,Yes,No,Yes,No,285.0,Moderate,Yes,High,Very Low,Am,sentinel_2_isabela_2020-Q2.tif,viirs_isabela_2020-Q2.tif,169.24735051980565
2OOUX,Ifugao,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,Yes,Lower-middle income,No,No,Yes,No,240.0,Moderate,Yes,Moderate,Very Low,Cwb,sentinel_2_ifugao_2019-Q3.tif,viirs_ifugao_2019-Q3.tif,124.55879739076364
BMZRR,Bulacan,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,No,Lower-middle income,No,No,Yes,Yes,30.0,Moderate,Yes,High,Very Low,Am,sentinel_2_bulacan_2021-Q3.tif,viirs_bulacan_2021-Q3.tif,188.78132785559427
K1KO6,Surigao del Norte,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,Yes,Yes,Yes,No,750.0,High,Yes,High,Very Low,Af,sentinel_2_surigao_del_norte_2021-Q4.tif,viirs_surigao_del_norte_2021-Q4.tif,140.96768951609243
Z5UH8,Benguet,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,Yes,Lower-middle income,No,No,Yes,No,210.0,High,No,High,Very Low,Cwb,sentinel_2_benguet_2019-Q1.tif,viirs_benguet_2019-Q1.tif,236.112644263592
U6PY0,Albay,2020-Q2,Philippines,2020,291244296180.30774,117.7956988014519,No,No,Lower-middle income,Yes,Yes,Yes,Yes,330.0,High,Yes,Very High,Very Low,Af,sentinel_2_albay_2020-Q2.tif,viirs_albay_2020-Q2.tif,164.7931628587885
20J1O,Samar,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,Yes,Yes,Yes,No,500.0,Moderate,Yes,High,Very Low,Af,sentinel_2_samar_2021-Q4.tif,viirs_samar_2021-Q4.tif,243.78689003546293
5TVV8,Mountain Province,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,Yes,Lower-middle income,No,No,Yes,No,280.0,High,No,Low,Very Low,Cwb,sentinel_2_mountain_province_2019-Q3.tif,viirs_mountain_province_2019-Q3.tif,245.40414262823444
HWHG0,Oriental Mindoro,2020-Q2,Philippines,2020,291244296180.30774,117.7956988014519,No,No,Lower-middle income,Yes,Yes,Yes,No,130.0,Moderate,Yes,High,Very Low,Am,sentinel_2_oriental_mindoro_2020-Q2.tif,viirs_oriental_mindoro_2020-Q2.tif,152.87136473190708
WZ940,Camiguin,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,Yes,Yes,Yes,No,780.0,Moderate,No,Moderate,Very Low,Af,sentinel_2_camiguin_2019-Q3.tif,viirs_camiguin_2019-Q3.tif,149.05776632301553
9ZDO0,Palawan,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,Yes,Yes,Yes,No,580.0,Low,No,Low,Very Low,Am,sentinel_2_palawan_2019-Q3.tif,viirs_palawan_2019-Q3.tif,230.7129124465073
M1FT0,Tarlac,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,Yes,Lower-middle income,No,No,Yes,No,110.0,Moderate,Yes,Moderate,Low,Am,sentinel_2_tarlac_2021-Q3.tif,viirs_tarlac_2021-Q3.tif,355.22336682582915
VV8SU,Cagayan,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,Yes,Yes,Yes,No,350.0,Moderate,Yes,High,Very Low,Am,sentinel_2_cagayan_2019-Q2.tif,viirs_cagayan_2019-Q2.tif,230.8109418283658
47EN4,Pampanga,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,Yes,Lower-middle income,Yes,No,Yes,Yes,65.0,Moderate,Yes,High,Very Low,Am,sentinel_2_pampanga_2020-Q1.tif,viirs_pampanga_2020-Q1.tif,214.77078116046772
DW56F,Capiz,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,Yes,Yes,Yes,No,400.0,Moderate,Yes,High,Very Low,Am,sentinel_2_capiz_2021-Q2.tif,viirs_capiz_2021-Q2.tif,156.86817776087568
9XKA4,Isabela,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,Yes,Lower-middle income,Yes,No,Yes,No,285.0,Moderate,Yes,High,Very Low,Am,sentinel_2_isabela_2021-Q3.tif,viirs_isabela_2021-Q3.tif,403.8669606878051
N6937,Lanao del Norte,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,No,Yes,Yes,No,790.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_lanao_del_norte_2019-Q1.tif,viirs_lanao_del_norte_2019-Q1.tif,118.02167066191186
2837C,Agusan del Sur,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,Yes,Lower-middle income,No,No,Yes,No,800.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_agusan_del_sur_2021-Q4.tif,viirs_agusan_del_sur_2021-Q4.tif,384.85994415091017
T8JBB,Zambales,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,Yes,Yes,Yes,No,115.0,Moderate,Yes,High,Very Low,Am,sentinel_2_zambales_2019-Q3.tif,viirs_zambales_2019-Q3.tif,290.42083600099403
J9HVC,Southern Leyte,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,No,Lower-middle income,No,Yes,Yes,No,640.0,Moderate,Yes,High,Very Low,Af,sentinel_2_southern_leyte_2020-Q1.tif,viirs_southern_leyte_2020-Q1.tif,132.14489311921963
EH1VR,Davao Occidental,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,No,No,Yes,No,1050.0,Moderate,Yes,Low,Very Low,Af,sentinel_2_davao_occidental_2019-Q3.tif,viirs_davao_occidental_2019-Q3.tif,146.8697617431454
EDTCX,Misamis Occidental,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,Yes,Yes,Yes,No,780.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_misamis_occidental_2020-Q3.tif,viirs_misamis_occidental_2020-Q3.tif,175.8983287397188
K06AK,Catanduanes,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,Yes,Yes,Yes,No,370.0,Moderate,Yes,Very High,Very Low,Af,sentinel_2_catanduanes_2021-Q2.tif,viirs_catanduanes_2021-Q2.tif,339.7938657345474
MZB3I,Aurora,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,No,No,Yes,No,145.0,High,Yes,High,Very Low,Af,sentinel_2_aurora_2019-Q2.tif,viirs_aurora_2019-Q2.tif,152.3546899719535
JEDGF,Cotabato,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,No,Lower-middle income,Yes,Yes,Yes,No,870.0,High,Yes,Moderate,Low,Af,sentinel_2_cotabato_2021-Q3.tif,viirs_cotabato_2021-Q3.tif,319.1780745286265
HC7JV,Zamboanga del Norte,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,Yes,Yes,Yes,No,690.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_zamboanga_del_norte_2021-Q4.tif,viirs_zamboanga_del_norte_2021-Q4.tif,106.09923603789032
OR17D,Quezon,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,Yes,Yes,Yes,No,95.0,Moderate,Yes,High,Very Low,Am,sentinel_2_quezon_2021-Q4.tif,viirs_quezon_2021-Q4.tif,238.52947125494703
4FDD7,Surigao del Sur,2019-Q4,Philippines,2019,299682074191.28937,117.9406160358257,No,No,Lower-middle income,Yes,Yes,Yes,No,850.0,High,Yes,High,Very Low,Af,sentinel_2_surigao_del_sur_2019-Q4.tif,viirs_surigao_del_sur_2019-Q4.tif,175.39690484011513
B34KU,Antique,2020-Q4,Philippines,2020,291244296180.30774,119.4024762808857,No,No,Lower-middle income,Yes,Yes,Yes,No,410.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_antique_2020-Q4.tif,viirs_antique_2020-Q4.tif,258.92783642535227
Q48EN,Sarangani,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,No,Yes,Yes,No,1030.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_sarangani_2019-Q2.tif,viirs_sarangani_2019-Q2.tif,133.65563676254132
2KODW,Davao Occidental,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,No,Yes,Yes,No,1050.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_davao_occidental_2020-Q3.tif,viirs_davao_occidental_2020-Q3.tif,253.4481428645265
24TKB,Batangas,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,No,Yes,Yes,No,85.0,High,Yes,High,Very Low,Am,sentinel_2_batangas_2020-Q3.tif,viirs_batangas_2020-Q3.tif,216.49701211708333
7RV4N,Davao Occidental,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,No,Lower-middle income,No,No,Yes,No,1050.0,Moderate,Yes,Low,Very Low,Af,sentinel_2_davao_occidental_2021-Q3.tif,viirs_davao_occidental_2021-Q3.tif,198.90013951360297
D3IH6,Bohol,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,630.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_bohol_2019-Q1.tif,viirs_bohol_2019-Q1.tif,155.66099038130363
QQNVC,Kalinga,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,Yes,Lower-middle income,No,No,Yes,No,340.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_kalinga_2021-Q3.tif,viirs_kalinga_2021-Q3.tif,252.3344459948905
ECRYS,Marinduque,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,Yes,Yes,Yes,No,170.0,Moderate,No,High,Very Low,Am,sentinel_2_marinduque_2021-Q2.tif,viirs_marinduque_2021-Q2.tif,195.5951243802564
FC1XX,Catanduanes,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,Yes,Yes,Yes,No,370.0,Moderate,Yes,Very High,Very Low,Af,sentinel_2_catanduanes_2020-Q3.tif,viirs_catanduanes_2020-Q3.tif,445.0324848609527
6XGZ7,Negros Oriental,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,Yes,Yes,Yes,No,630.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_negros_oriental_2019-Q3.tif,viirs_negros_oriental_2019-Q3.tif,183.28249598343507
HC8CA,Siquijor,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,570.0,Moderate,No,Moderate,Very Low,Am,sentinel_2_siquijor_2019-Q1.tif,viirs_siquijor_2019-Q1.tif,200.8916410006034
GGOC5,Camarines Sur,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,Yes,260.0,Moderate,Yes,High,Very Low,Am,sentinel_2_camarines_sur_2019-Q1.tif,viirs_camarines_sur_2019-Q1.tif,197.71317932356345
AFCO3,Ilocos Norte,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,Yes,Yes,Yes,No,400.0,Moderate,Yes,High,Very Low,Aw,sentinel_2_ilocos_norte_2021-Q2.tif,viirs_ilocos_norte_2021-Q2.tif,210.7480985652168
HJPKH,Surigao del Sur,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,Yes,Yes,Yes,No,850.0,High,Yes,High,Very Low,Af,sentinel_2_surigao_del_sur_2021-Q2.tif,viirs_surigao_del_sur_2021-Q2.tif,147.14714327807087
CU5X0,Sarangani,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,No,Yes,Yes,No,1030.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_sarangani_2021-Q4.tif,viirs_sarangani_2021-Q4.tif,157.07352758358232
8AB13,Zambales,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,No,Lower-middle income,Yes,Yes,Yes,No,115.0,Moderate,Yes,High,Very Low,Am,sentinel_2_zambales_2020-Q1.tif,viirs_zambales_2020-Q1.tif,236.33134943584287
RFQLA,Albay,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,Yes,Yes,Yes,No,330.0,High,Yes,Very High,Low,Af,sentinel_2_albay_2019-Q3.tif,viirs_albay_2019-Q3.tif,259.6831624072456
6OLBA,Iloilo,2019-Q4,Philippines,2019,299682074191.28937,117.9406160358257,No,No,Lower-middle income,Yes,Yes,Yes,No,460.0,Moderate,Yes,High,Very Low,Am,sentinel_2_iloilo_2019-Q4.tif,viirs_iloilo_2019-Q4.tif,222.3253165291887
QFEZK,Marinduque,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,170.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_marinduque_2019-Q1.tif,viirs_marinduque_2019-Q1.tif,161.0840950197984
4DV56,Benguet,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,Yes,Lower-middle income,No,No,Yes,No,210.0,High,No,High,Very Low,Cwb,sentinel_2_benguet_2021-Q3.tif,viirs_benguet_2021-Q3.tif,257.4827256924674
YTJUQ,Davao del Norte,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,Yes,Yes,Yes,No,970.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_davao_del_norte_2020-Q3.tif,viirs_davao_del_norte_2020-Q3.tif,178.31532928597608
2KRE4,Bukidnon,2020-Q2,Philippines,2020,291244296180.30774,117.7956988014519,No,Yes,Lower-middle income,No,No,Yes,No,820.0,Moderate,No,Moderate,Very Low,Am,sentinel_2_bukidnon_2020-Q2.tif,viirs_bukidnon_2020-Q2.tif,198.00837337352667
RXJPT,National Capital Region (NCR),2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Upper-middle income,Yes,Yes,Yes,Yes,0.0,High,Yes,High,Very Low,Am,sentinel_2_national_capital_region_2020-Q3.tif,viirs_national_capital_region_2020-Q3.tif,324.04583946653867
DSAV9,Laguna,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,No,Lower-middle income,No,No,Yes,Yes,57.5,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_laguna_2021-Q3.tif,viirs_laguna_2021-Q3.tif,232.17237426613084
GWFHD,Kalinga,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,Yes,Lower-middle income,No,No,Yes,No,340.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_kalinga_2019-Q3.tif,viirs_kalinga_2019-Q3.tif,209.68365979239044
9I3HZ,Negros Occidental,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,Yes,Yes,Yes,No,480.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_negros_occidental_2019-Q2.tif,viirs_negros_occidental_2019-Q2.tif,249.6863175341793
JCSEX,Camarines Norte,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,No,Yes,Yes,No,220.0,Moderate,Yes,High,Very Low,Am,sentinel_2_camarines_norte_2021-Q4.tif,viirs_camarines_norte_2021-Q4.tif,219.2682150771411
O4Z53,Bohol,2019-Q4,Philippines,2019,299682074191.28937,117.9406160358257,No,No,Lower-middle income,Yes,Yes,Yes,No,630.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_bohol_2019-Q4.tif,viirs_bohol_2019-Q4.tif,182.90790296091564
ONXD7,Benguet,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,Yes,Lower-middle income,No,No,Yes,No,210.0,High,No,High,Very Low,Cwb,sentinel_2_benguet_2021-Q4.tif,viirs_benguet_2021-Q4.tif,326.7766472427772
RTT3N,Occidental Mindoro,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,Yes,Yes,Yes,No,150.0,Moderate,Yes,High,Very Low,Am,sentinel_2_occidental_mindoro_2019-Q2.tif,viirs_occidental_mindoro_2019-Q2.tif,171.07206593399775
SDN1M,Catanduanes,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,Yes,Yes,Yes,No,370.0,Moderate,Yes,Very High,Very Low,Af,sentinel_2_catanduanes_2019-Q2.tif,viirs_catanduanes_2019-Q2.tif,123.64848593044913
F5B1S,Oriental Mindoro,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,No,Yes,Yes,No,130.0,Moderate,Yes,High,Very Low,Am,sentinel_2_oriental_mindoro_2019-Q2.tif,viirs_oriental_mindoro_2019-Q2.tif,195.8341767322802
117NI,Iloilo,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,No,Lower-middle income,Yes,Yes,Yes,No,460.0,Moderate,Yes,High,Very Low,Am,sentinel_2_iloilo_2020-Q1.tif,viirs_iloilo_2020-Q1.tif,190.29156277064453
ECPNC,Tarlac,2019-Q4,Philippines,2019,299682074191.28937,117.9406160358257,No,Yes,Lower-middle income,No,No,Yes,No,110.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_tarlac_2019-Q4.tif,viirs_tarlac_2019-Q4.tif,196.05109536574096
GDVC2,Davao del Sur,2021-Q4,Philippines,2021,332183318448.6994,127.389433729792,No,No,Lower-middle income,Yes,Yes,Yes,No,970.0,High,Yes,Low,Very Low,Af,sentinel_2_davao_del_sur_2021-Q4.tif,viirs_davao_del_sur_2021-Q4.tif,258.61264710206564
FB2VI,Cavite,2019-Q4,Philippines,2019,299682074191.28937,117.9406160358257,No,No,Lower-middle income,No,Yes,Yes,No,33.0,Moderate,Yes,High,Very Low,Am,sentinel_2_cavite_2019-Q4.tif,viirs_cavite_2019-Q4.tif,205.36590355524268
2PTHO,Batangas,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,No,Lower-middle income,No,Yes,Yes,No,85.0,High,Yes,High,Very Low,Am,sentinel_2_batangas_2021-Q3.tif,viirs_batangas_2021-Q3.tif,273.46549889402945
AQ3EQ,Quezon,2019-Q2,Philippines,2019,299682074191.28937,117.3681318135368,No,No,Lower-middle income,Yes,Yes,Yes,Yes,95.0,Moderate,Yes,High,Very Low,Am,sentinel_2_quezon_2019-Q2.tif,viirs_quezon_2019-Q2.tif,193.4213585221564
MVRYD,Laguna,2021-Q1,Philippines,2021,332183318448.6994,120.6838014481023,No,No,Lower-middle income,No,No,Yes,Yes,57.5,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_laguna_2021-Q1.tif,viirs_laguna_2021-Q1.tif,308.2277318036149
MOTCG,Tarlac,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,Yes,Lower-middle income,No,No,Yes,No,110.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_tarlac_2019-Q1.tif,viirs_tarlac_2019-Q1.tif,167.4021981772305
Z9VLU,Dinagat Islands,2020-Q4,Philippines,2020,291244296180.30774,119.4024762808857,No,No,Lower-middle income,No,Yes,No,No,770.0,Moderate,Yes,High,Very Low,Af,sentinel_2_dinagat_islands_2020-Q4.tif,viirs_dinagat_islands_2020-Q4.tif,163.83623351023658
9AZ3C,Zambales,2021-Q3,Philippines,2021,332183318448.6994,125.4848727349994,No,No,Lower-middle income,No,Yes,Yes,No,115.0,Moderate,Yes,High,Very Low,Am,sentinel_2_zambales_2021-Q3.tif,viirs_zambales_2021-Q3.tif,234.19537199707088
KC5I8,Aklan,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,No,Lower-middle income,Yes,Yes,Yes,No,350.0,Moderate,Yes,High,Very Low,Am,sentinel_2_aklan_2020-Q1.tif,viirs_aklan_2020-Q1.tif,273.0620981305201
NVP8G,Basilan,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,No,Low income,No,Yes,Yes,No,880.0,Moderate,No,Moderate,Very Low,Af,sentinel_2_basilan_2020-Q1.tif,viirs_basilan_2020-Q1.tif,117.874461025641
GUO8I,Ilocos Sur,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,No,Yes,Yes,No,340.0,Moderate,Yes,Moderate,Very Low,Aw,sentinel_2_ilocos_sur_2019-Q3.tif,viirs_ilocos_sur_2019-Q3.tif,190.7581285256965
AN25W,Davao del Sur,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,Yes,Yes,Yes,No,970.0,High,Yes,Low,Very Low,Af,sentinel_2_davao_del_sur_2021-Q2.tif,viirs_davao_del_sur_2021-Q2.tif,231.2902188792511
