geolocation_name,quarter_label,country,year,deflated_gdp_usd,us_cpi,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
10,2,1,2024,3928801383782.808,143.9682405014625,0,3,1,1,1,1,900.0,3,1,2,1,3,sentinel_2_43000_kumamoto_2024-Q2.tif,viirs_43000_kumamoto_2024-Q2.tif,1985.2283517854448
11,3,1,2019,4070264756531.522,117.6899153350103,0,3,1,1,1,1,870.0,2,1,3,1,3,sentinel_2_45000_miyazaki_2019-Q3.tif,viirs_45000_miyazaki_2019-Q3.tif,1507.5773424575727
12,2,1,2021,4247588558872.2593,123.5075473904579,0,3,1,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2021-Q2.tif,viirs_46000_kagoshima_2021-Q2.tif,1691.0583400832106
13,1,0,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,570.0,2,1,3,0,0,sentinel_2_leyte_2019-Q1.tif,viirs_leyte_2019-Q1.tif,141.77724064398484
14,3,1,2024,3928801383782.808,144.403145070865,0,3,1,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2024-Q3.tif,viirs_03000_iwate_2024-Q3.tif,1706.6163973371624
15,1,1,2024,3928801383782.808,142.3299725681459,0,3,1,1,1,1,1200.0,2,1,2,1,3,sentinel_2_42000_nagasaki_2024-Q1.tif,viirs_42000_nagasaki_2024-Q1.tif,1530.8526948457186
16,2,1,2019,4070264756531.522,117.3681318135368,0,3,1,1,1,1,260.0,2,1,2,1,3,sentinel_2_16000_toyama_2019-Q2.tif,viirs_16000_toyama_2019-Q2.tif,1618.5349375743162
17,3,1,2021,4247588558872.2593,125.4848727349994,0,3,1,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2021-Q3.tif,viirs_39000_kochi_2021-Q3.tif,1825.0917143442623
18,1,0,2021,332183318448.6994,120.6838014481023,0,1,1,1,1,0,350.0,2,1,3,0,1,sentinel_2_aklan_2021-Q1.tif,viirs_aklan_2021-Q1.tif,295.94368015463374
19,1,0,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,970.0,3,1,2,0,0,sentinel_2_davao_del_sur_2020-Q1.tif,viirs_davao_del_sur_2020-Q1.tif,230.4855693132282
20,2,0,2021,332183318448.6994,123.5075473904579,0,1,0,0,1,1,30.0,2,1,3,0,1,sentinel_2_bulacan_2021-Q2.tif,viirs_bulacan_2021-Q2.tif,209.96006809930336
0,2,0,2021,332183318448.6994,123.5075473904579,0,1,0,1,0,0,770.0,2,1,3,0,0,sentinel_2_dinagat_islands_2021-Q2.tif,viirs_dinagat_islands_2021-Q2.tif,159.357989488004
17,2,1,2021,4247588558872.2593,123.5075473904579,0,3,1,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2021-Q2.tif,viirs_39000_kochi_2021-Q2.tif,1958.5022084914683
21,3,1,2024,3928801383782.808,144.403145070865,0,3,1,1,1,1,500.0,3,1,2,1,3,sentinel_2_36000_tokushima_2024-Q3.tif,viirs_36000_tokushima_2024-Q3.tif,1523.5489879188451
22,3,1,2021,4247588558872.2593,125.4848727349994,0,3,1,1,1,1,500.0,2,1,2,1,3,sentinel_2_31000_tottori_2021-Q3.tif,viirs_31000_tottori_2021-Q3.tif,1894.530285958593
14,1,1,2021,4247588558872.2593,120.6838014481023,0,3,1,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2021-Q1.tif,viirs_03000_iwate_2021-Q1.tif,1921.0423046521275
23,4,0,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,500.0,2,1,3,0,0,sentinel_2_samar_2020-Q4.tif,viirs_samar_2020-Q4.tif,457.2029544438361
24,1,0,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,470.0,2,1,3,0,0,sentinel_2_northern_samar_2019-Q1.tif,viirs_northern_samar_2019-Q1.tif,290.45753931795343
25,1,0,2020,291244296180.30774,118.4352913210933,1,1,0,0,1,0,265.0,2,1,2,0,1,sentinel_2_quirino_2020-Q1.tif,viirs_quirino_2020-Q1.tif,237.01969209401705
17,3,1,2023,3993446887350.673,140.714328844415,0,3,1,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2023-Q3.tif,viirs_39000_kochi_2023-Q3.tif,1709.715510686194
26,2,1,2023,3993446887350.673,139.5056151606663,1,3,0,0,1,1,100.0,3,0,1,1,3,sentinel_2_10000_gunma_2023-Q2.tif,viirs_10000_gunma_2023-Q2.tif,1459.5649435230368
27,1,1,2022,3880440088794.578,130.2983261906564,0,3,0,1,1,1,320.0,2,1,1,0,3,sentinel_2_18000_fukui_2022-Q1.tif,viirs_18000_fukui_2022-Q1.tif,1714.0184827186436
8,3,1,2020,4069008481605.98,119.1285399053605,1,3,0,0,1,1,270.0,2,1,1,1,3,sentinel_2_21000_gifu_2020-Q3.tif,viirs_21000_gifu_2020-Q3.tif,1967.020623488982
28,1,0,2019,299682074191.28937,115.9781187205398,1,1,1,0,1,0,285.0,2,1,3,0,1,sentinel_2_isabela_2019-Q1.tif,viirs_isabela_2019-Q1.tif,164.89512456913235
29,3,0,2019,299682074191.28937,117.6899153350103,0,1,0,1,1,0,790.0,2,1,2,0,0,sentinel_2_lanao_del_norte_2019-Q3.tif,viirs_lanao_del_norte_2019-Q3.tif,140.20714554759803
30,3,0,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,150.0,2,1,2,0,1,sentinel_2_occidental_mindoro_2020-Q3.tif,viirs_occidental_mindoro_2020-Q3.tif,143.21617229137587
31,3,1,2022,3880440088794.578,135.9371046973515,1,3,1,0,1,1,22.5,2,1,2,1,3,sentinel_2_11000_saitama_2022-Q3.tif,viirs_11000_saitama_2022-Q3.tif,1391.3593998260085
3,1,0,2019,299682074191.28937,115.9781187205398,1,1,1,0,1,0,870.0,3,1,2,0,0,sentinel_2_cotabato_2019-Q1.tif,viirs_cotabato_2019-Q1.tif,111.27126722727216
27,2,1,2024,3928801383782.808,143.9682405014625,0,3,0,1,1,1,320.0,2,1,1,1,3,sentinel_2_18000_fukui_2024-Q2.tif,viirs_18000_fukui_2024-Q2.tif,1503.0610503651835
32,1,0,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,400.0,2,1,3,0,1,sentinel_2_capiz_2019-Q1.tif,viirs_capiz_2019-Q1.tif,227.8876850346824
33,1,0,2019,299682074191.28937,115.9781187205398,1,1,0,0,1,0,330.0,3,1,2,0,1,sentinel_2_abra_2019-Q1.tif,viirs_abra_2019-Q1.tif,178.06872669595893
34,3,0,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,800.0,2,1,2,0,0,sentinel_2_agusan_del_norte_2020-Q3.tif,viirs_agusan_del_norte_2020-Q3.tif,206.4482223303457
35,1,1,2024,3928801383782.808,142.3299725681459,0,3,1,1,1,1,650.0,2,1,2,1,3,sentinel_2_32000_shimane_2024-Q1.tif,viirs_32000_shimane_2024-Q1.tif,2635.3867973524257
36,2,0,2021,332183318448.6994,123.5075473904579,1,1,1,0,1,0,1000.0,2,1,1,0,1,sentinel_2_south_cotabato_2021-Q2.tif,viirs_south_cotabato_2021-Q2.tif,153.4776091619691
28,2,0,2020,291244296180.30774,117.7956988014519,1,1,1,0,1,0,285.0,2,1,3,0,1,sentinel_2_isabela_2020-Q2.tif,viirs_isabela_2020-Q2.tif,169.24735051980565
37,2,1,2020,4069008481605.98,117.7956988014519,0,3,1,1,1,1,575.0,2,1,1,0,5,sentinel_2_02000_aomori_2020-Q2.tif,viirs_02000_aomori_2020-Q2.tif,1839.9102721070085
12,4,1,2021,4247588558872.2593,127.389433729792,0,3,1,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2021-Q4.tif,viirs_46000_kagoshima_2021-Q4.tif,1740.9545318857506
38,3,1,2023,3993446887350.673,140.714328844415,0,3,1,1,1,1,540.0,2,1,1,1,3,sentinel_2_33000_okayama_2023-Q3.tif,viirs_33000_okayama_2023-Q3.tif,1796.7345619939686
12,3,1,2024,3928801383782.808,144.403145070865,0,3,1,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2024-Q3.tif,viirs_46000_kagoshima_2024-Q3.tif,1741.3021307805875
39,3,0,2019,299682074191.28937,117.6899153350103,1,1,0,0,1,0,240.0,2,1,2,0,4,sentinel_2_ifugao_2019-Q3.tif,viirs_ifugao_2019-Q3.tif,124.55879739076364
20,3,0,2021,332183318448.6994,125.4848727349994,0,1,0,0,1,1,30.0,2,1,3,0,1,sentinel_2_bulacan_2021-Q3.tif,viirs_bulacan_2021-Q3.tif,188.78132785559427
40,4,1,2021,4247588558872.2593,127.389433729792,0,3,1,1,1,1,0.0,3,1,2,1,3,sentinel_2_13000_tokyo_2021-Q4.tif,viirs_13000_tokyo_2021-Q4.tif,2726.1217521559074
41,4,0,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,750.0,3,1,3,0,0,sentinel_2_surigao_del_norte_2021-Q4.tif,viirs_surigao_del_norte_2021-Q4.tif,140.96768951609243
42,1,0,2019,299682074191.28937,115.9781187205398,1,1,0,0,1,0,210.0,3,0,3,0,4,sentinel_2_benguet_2019-Q1.tif,viirs_benguet_2019-Q1.tif,236.112644263592
43,2,0,2020,291244296180.30774,117.7956988014519,0,1,1,1,1,1,330.0,3,1,4,0,0,sentinel_2_albay_2020-Q2.tif,viirs_albay_2020-Q2.tif,164.7931628587885
44,4,1,2019,4070264756531.522,117.9406160358257,0,3,1,1,1,1,430.0,3,1,2,1,3,sentinel_2_28000_hyogo_2019-Q4.tif,viirs_28000_hyogo_2019-Q4.tif,1856.066182284886
45,2,1,2019,4070264756531.522,117.3681318135368,1,3,0,0,1,1,110.0,2,0,2,1,3,sentinel_2_19000_yamanashi_2019-Q2.tif,viirs_19000_yamanashi_2019-Q2.tif,1816.875956200879
23,4,0,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,500.0,2,1,3,0,0,sentinel_2_samar_2021-Q4.tif,viirs_samar_2021-Q4.tif,243.78689003546293
46,3,0,2019,299682074191.28937,117.6899153350103,1,1,0,0,1,0,280.0,3,0,1,0,4,sentinel_2_mountain_province_2019-Q3.tif,viirs_mountain_province_2019-Q3.tif,245.40414262823444
47,2,0,2020,291244296180.30774,117.7956988014519,0,1,1,1,1,0,130.0,2,1,3,0,1,sentinel_2_oriental_mindoro_2020-Q2.tif,viirs_oriental_mindoro_2020-Q2.tif,152.87136473190708
48,3,0,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,780.0,2,0,2,0,0,sentinel_2_camiguin_2019-Q3.tif,viirs_camiguin_2019-Q3.tif,149.05776632301553
49,3,0,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,580.0,1,0,1,0,1,sentinel_2_palawan_2019-Q3.tif,viirs_palawan_2019-Q3.tif,230.7129124465073
22,4,1,2024,3928801383782.808,144.7279859179582,0,3,1,1,1,1,500.0,2,0,1,1,3,sentinel_2_31000_tottori_2024-Q4.tif,viirs_31000_tottori_2024-Q4.tif,1705.0237038929438
50,3,0,2021,332183318448.6994,125.4848727349994,1,1,0,0,1,0,110.0,2,1,2,1,1,sentinel_2_tarlac_2021-Q3.tif,viirs_tarlac_2021-Q3.tif,355.22336682582915
51,2,0,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,0,350.0,2,1,3,0,1,sentinel_2_cagayan_2019-Q2.tif,viirs_cagayan_2019-Q2.tif,230.8109418283658
4,1,0,2020,291244296180.30774,118.4352913210933,1,1,1,0,1,1,65.0,2,1,3,0,1,sentinel_2_pampanga_2020-Q1.tif,viirs_pampanga_2020-Q1.tif,214.77078116046772
32,2,0,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,400.0,2,1,3,0,1,sentinel_2_capiz_2021-Q2.tif,viirs_capiz_2021-Q2.tif,156.86817776087568
14,2,1,2023,3993446887350.673,139.5056151606663,0,3,1,1,1,1,450.0,3,1,1,0,5,sentinel_2_03000_iwate_2023-Q2.tif,viirs_03000_iwate_2023-Q2.tif,1528.038494165825
28,3,0,2021,332183318448.6994,125.4848727349994,1,1,1,0,1,0,285.0,2,1,3,0,1,sentinel_2_isabela_2021-Q3.tif,viirs_isabela_2021-Q3.tif,403.8669606878051
29,1,0,2019,299682074191.28937,115.9781187205398,0,1,0,1,1,0,790.0,2,1,2,0,0,sentinel_2_lanao_del_norte_2019-Q1.tif,viirs_lanao_del_norte_2019-Q1.tif,118.02167066191186
52,4,0,2021,332183318448.6994,127.389433729792,1,1,0,0,1,0,800.0,2,1,2,0,0,sentinel_2_agusan_del_sur_2021-Q4.tif,viirs_agusan_del_sur_2021-Q4.tif,384.85994415091017
26,4,1,2022,3880440088794.578,136.4362131047677,1,3,0,0,1,1,100.0,3,0,1,1,3,sentinel_2_10000_gunma_2022-Q4.tif,viirs_10000_gunma_2022-Q4.tif,1516.243223607638
53,3,1,2020,4069008481605.98,119.1285399053605,0,3,1,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2020-Q3.tif,viirs_15000_niigata_2020-Q3.tif,2161.465206387008
54,1,1,2020,4069008481605.98,118.4352913210933,1,3,1,0,1,1,300.0,2,1,2,1,5,sentinel_2_06000_yamagata_2020-Q1.tif,viirs_06000_yamagata_2020-Q1.tif,1563.5068390058025
55,3,1,2021,4247588558872.2593,125.4848727349994,0,3,0,1,1,1,450.0,3,1,3,1,3,sentinel_2_30000_wakayama_2021-Q3.tif,viirs_30000_wakayama_2021-Q3.tif,1672.058748832966
56,4,1,2021,4247588558872.2593,127.389433729792,0,3,1,1,1,1,37.5,3,1,3,1,3,sentinel_2_12000_chiba_2021-Q4.tif,viirs_12000_chiba_2021-Q4.tif,1717.3267665699152
57,2,1,2023,3993446887350.673,139.5056151606663,1,3,0,0,1,1,370.0,2,0,2,1,3,sentinel_2_26000_kyoto_2023-Q2.tif,viirs_26000_kyoto_2023-Q2.tif,1642.8214643453375
27,1,1,2021,4247588558872.2593,120.6838014481023,0,3,0,1,1,1,320.0,2,1,2,1,3,sentinel_2_18000_fukui_2021-Q1.tif,viirs_18000_fukui_2021-Q1.tif,1790.093932963981
17,4,1,2021,4247588558872.2593,127.389433729792,0,3,1,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2021-Q4.tif,viirs_39000_kochi_2021-Q4.tif,1932.8107413918208
58,3,1,2019,4070264756531.522,117.6899153350103,0,3,0,1,1,1,320.0,3,1,3,1,3,sentinel_2_24000_mie_2019-Q3.tif,viirs_24000_mie_2019-Q3.tif,1793.813494187579
59,2,1,2021,4247588558872.2593,123.5075473904579,0,3,1,1,1,1,770.0,2,1,2,1,3,sentinel_2_44000_oita_2021-Q2.tif,viirs_44000_oita_2021-Q2.tif,1768.709367079818
60,2,1,2020,4069008481605.98,117.7956988014519,1,3,0,0,1,1,340.0,2,1,1,1,3,sentinel_2_25000_shiga_2020-Q2.tif,viirs_25000_shiga_2020-Q2.tif,1972.2314753131195
61,2,1,2023,3993446887350.673,139.5056151606663,0,3,1,1,1,1,680.0,2,1,2,1,3,sentinel_2_34000_hiroshima_2023-Q2.tif,viirs_34000_hiroshima_2023-Q2.tif,1849.713710608573
59,4,1,2024,3928801383782.808,144.7279859179582,0,3,1,1,1,1,770.0,2,0,2,0,3,sentinel_2_44000_oita_2024-Q4.tif,viirs_44000_oita_2024-Q4.tif,1698.0829381490391
57,1,1,2024,3928801383782.808,142.3299725681459,1,3,0,0,1,1,370.0,2,0,2,1,3,sentinel_2_26000_kyoto_2024-Q1.tif,viirs_26000_kyoto_2024-Q1.tif,2092.092230168884
62,3,0,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,115.0,2,1,3,0,1,sentinel_2_zambales_2019-Q3.tif,viirs_zambales_2019-Q3.tif,290.42083600099403
63,1,0,2020,291244296180.30774,118.4352913210933,0,1,0,1,1,0,640.0,2,1,3,0,0,sentinel_2_southern_leyte_2020-Q1.tif,viirs_southern_leyte_2020-Q1.tif,132.14489311921963
21,2,1,2023,3993446887350.673,139.5056151606663,0,3,1,1,1,1,500.0,3,1,3,1,3,sentinel_2_36000_tokushima_2023-Q2.tif,viirs_36000_tokushima_2023-Q2.tif,1652.0022150707084
1,3,1,2024,3928801383782.808,144.403145070865,1,3,0,0,1,1,370.0,2,1,1,0,3,sentinel_2_29000_nara_2024-Q3.tif,viirs_29000_nara_2024-Q3.tif,1638.3824307765854
64,3,0,2019,299682074191.28937,117.6899153350103,0,1,0,0,1,0,1050.0,2,1,1,0,0,sentinel_2_davao_occidental_2019-Q3.tif,viirs_davao_occidental_2019-Q3.tif,146.8697617431454
61,1,1,2023,3993446887350.673,137.8618440412342,0,3,1,1,1,1,680.0,2,1,2,1,3,sentinel_2_34000_hiroshima_2023-Q1.tif,viirs_34000_hiroshima_2023-Q1.tif,1688.2958645160948
12,1,1,2019,4070264756531.522,115.9781187205398,0,3,1,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2019-Q1.tif,viirs_46000_kagoshima_2019-Q1.tif,1610.2856795542457
65,3,0,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,780.0,2,1,2,0,0,sentinel_2_misamis_occidental_2020-Q3.tif,viirs_misamis_occidental_2020-Q3.tif,175.8983287397188
66,2,1,2019,4070264756531.522,117.3681318135368,0,3,1,1,1,1,800.0,2,1,2,1,3,sentinel_2_35000_yamaguchi_2019-Q2.tif,viirs_35000_yamaguchi_2019-Q2.tif,1921.946839254708
9,2,0,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,370.0,2,1,4,0,0,sentinel_2_catanduanes_2021-Q2.tif,viirs_catanduanes_2021-Q2.tif,339.7938657345474
53,1,1,2021,4247588558872.2593,120.6838014481023,0,3,1,1,1,1,250.0,2,1,2,1,3,sentinel_2_15000_niigata_2021-Q1.tif,viirs_15000_niigata_2021-Q1.tif,1744.4765098953744
26,4,1,2024,3928801383782.808,144.7279859179582,1,3,0,0,1,1,100.0,3,1,1,1,3,sentinel_2_10000_gunma_2024-Q4.tif,viirs_10000_gunma_2024-Q4.tif,1610.3354322622845
67,2,0,2019,299682074191.28937,117.3681318135368,0,1,0,0,1,0,145.0,3,1,3,0,0,sentinel_2_aurora_2019-Q2.tif,viirs_aurora_2019-Q2.tif,152.3546899719535
53,4,1,2022,3880440088794.578,136.4362131047677,0,3,1,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2022-Q4.tif,viirs_15000_niigata_2022-Q4.tif,1529.319958549199
14,2,1,2024,3928801383782.808,143.9682405014625,0,3,1,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2024-Q2.tif,viirs_03000_iwate_2024-Q2.tif,1438.2791821231256
15,3,1,2020,4069008481605.98,119.1285399053605,0,3,1,1,1,1,1200.0,2,1,3,1,3,sentinel_2_42000_nagasaki_2020-Q3.tif,viirs_42000_nagasaki_2020-Q3.tif,2759.149129538569
60,1,1,2019,4070264756531.522,115.9781187205398,1,3,0,0,1,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2019-Q1.tif,viirs_25000_shiga_2019-Q1.tif,1536.5560819964348
68,2,1,2021,4247588558872.2593,123.5075473904579,0,3,1,1,1,1,1550.0,2,1,3,1,3,sentinel_2_47000_okinawa_2021-Q2.tif,viirs_47000_okinawa_2021-Q2.tif,2693.688816100626
60,2,1,2023,3993446887350.673,139.5056151606663,1,3,0,0,1,1,340.0,2,1,1,1,3,sentinel_2_25000_shiga_2023-Q2.tif,viirs_25000_shiga_2023-Q2.tif,1556.198522937697
2,4,1,2022,3880440088794.578,136.4362131047677,0,3,1,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2022-Q4.tif,viirs_05000_akita_2022-Q4.tif,1360.5407756331736
53,3,1,2023,3993446887350.673,140.714328844415,0,3,1,1,1,1,250.0,2,1,1,1,3,sentinel_2_15000_niigata_2023-Q3.tif,viirs_15000_niigata_2023-Q3.tif,1652.351729770047
60,1,1,2021,4247588558872.2593,120.6838014481023,1,3,0,0,1,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2021-Q1.tif,viirs_25000_shiga_2021-Q1.tif,1947.4680983015628
60,4,1,2024,3928801383782.808,144.7279859179582,1,3,0,0,1,1,340.0,2,1,2,1,3,sentinel_2_25000_shiga_2024-Q4.tif,viirs_25000_shiga_2024-Q4.tif,1451.6760268999146
3,3,0,2021,332183318448.6994,125.4848727349994,0,1,1,1,1,0,870.0,3,1,2,1,0,sentinel_2_cotabato_2021-Q3.tif,viirs_cotabato_2021-Q3.tif,319.1780745286265
2,4,1,2019,4070264756531.522,117.9406160358257,0,3,1,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2019-Q4.tif,viirs_05000_akita_2019-Q4.tif,1654.4130016501765
45,2,1,2024,3928801383782.808,143.9682405014625,1,3,0,0,1,1,110.0,2,0,1,0,3,sentinel_2_19000_yamanashi_2024-Q2.tif,viirs_19000_yamanashi_2024-Q2.tif,2075.1754326184027
57,4,1,2021,4247588558872.2593,127.389433729792,1,3,1,0,1,1,370.0,2,0,2,0,3,sentinel_2_26000_kyoto_2021-Q4.tif,viirs_26000_kyoto_2021-Q4.tif,1894.8936548010813
35,2,1,2019,4070264756531.522,117.3681318135368,0,3,1,1,1,1,650.0,2,1,2,1,3,sentinel_2_32000_shimane_2019-Q2.tif,viirs_32000_shimane_2019-Q2.tif,1693.2548833215735
69,1,1,2023,3993446887350.673,137.8618440412342,0,3,1,1,1,1,900.0,2,1,2,1,3,sentinel_2_41000_saga_2023-Q1.tif,viirs_41000_saga_2023-Q1.tif,1341.7460147048464
70,3,1,2020,4069008481605.98,119.1285399053605,0,3,1,1,1,1,880.0,2,1,2,1,3,sentinel_2_40000_fukuoka_2020-Q3.tif,viirs_40000_fukuoka_2020-Q3.tif,1921.7029306321228
70,4,1,2020,4069008481605.98,119.4024762808857,0,3,1,1,1,1,880.0,2,1,2,1,3,sentinel_2_40000_fukuoka_2020-Q4.tif,viirs_40000_fukuoka_2020-Q4.tif,1931.381807050956
1,3,1,2020,4069008481605.98,119.1285399053605,1,3,0,0,1,1,370.0,2,1,1,1,3,sentinel_2_29000_nara_2020-Q3.tif,viirs_29000_nara_2020-Q3.tif,2376.281377872221
22,4,1,2020,4069008481605.98,119.4024762808857,0,3,1,1,1,1,500.0,2,1,2,1,3,sentinel_2_31000_tottori_2020-Q4.tif,viirs_31000_tottori_2020-Q4.tif,1769.612951596597
71,4,0,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,690.0,2,1,2,0,1,sentinel_2_zamboanga_del_norte_2021-Q4.tif,viirs_zamboanga_del_norte_2021-Q4.tif,106.09923603789032
72,4,1,2024,3928801383782.808,144.7279859179582,0,3,1,1,1,1,540.0,2,0,2,0,3,sentinel_2_37000_kagawa_2024-Q4.tif,viirs_37000_kagawa_2024-Q4.tif,1866.2107457228308
73,1,1,2020,4069008481605.98,118.4352913210933,1,3,0,0,1,1,100.0,2,1,2,1,3,sentinel_2_09000_tochigi_2020-Q1.tif,viirs_09000_tochigi_2020-Q1.tif,1814.613950397328
74,4,0,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,95.0,2,1,3,0,1,sentinel_2_quezon_2021-Q4.tif,viirs_quezon_2021-Q4.tif,238.52947125494703
75,4,0,2019,299682074191.28937,117.9406160358257,0,1,1,1,1,0,850.0,3,1,3,0,0,sentinel_2_surigao_del_sur_2019-Q4.tif,viirs_surigao_del_sur_2019-Q4.tif,175.39690484011513
5,4,0,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,410.0,2,1,2,0,1,sentinel_2_antique_2020-Q4.tif,viirs_antique_2020-Q4.tif,258.92783642535227
40,3,1,2023,3993446887350.673,140.714328844415,0,3,1,1,1,1,0.0,3,1,2,1,3,sentinel_2_13000_tokyo_2023-Q3.tif,viirs_13000_tokyo_2023-Q3.tif,2432.790545293574
11,4,1,2020,4069008481605.98,119.4024762808857,0,3,1,1,1,1,870.0,2,1,3,1,3,sentinel_2_45000_miyazaki_2020-Q4.tif,viirs_45000_miyazaki_2020-Q4.tif,2193.755303244855
54,1,1,2021,4247588558872.2593,120.6838014481023,0,3,1,0,1,1,300.0,2,1,1,1,5,sentinel_2_06000_yamagata_2021-Q1.tif,viirs_06000_yamagata_2021-Q1.tif,2082.7015825700746
59,3,1,2023,3993446887350.673,140.714328844415,0,3,1,1,1,1,770.0,2,1,2,1,3,sentinel_2_44000_oita_2023-Q3.tif,viirs_44000_oita_2023-Q3.tif,1675.673534349694
76,2,0,2019,299682074191.28937,117.3681318135368,0,1,0,1,1,0,1030.0,2,1,2,0,0,sentinel_2_sarangani_2019-Q2.tif,viirs_sarangani_2019-Q2.tif,133.65563676254132
6,3,1,2021,4247588558872.2593,125.4848727349994,0,3,1,1,1,1,270.0,2,1,2,1,3,sentinel_2_17000_ishikawa_2021-Q3.tif,viirs_17000_ishikawa_2021-Q3.tif,1716.6803875044377
77,3,1,2024,3928801383782.808,144.403145070865,1,3,1,0,1,1,180.0,2,1,1,0,5,sentinel_2_20000_nagano_2024-Q3.tif,viirs_20000_nagano_2024-Q3.tif,2044.0444293039195
