data_id,geolocation_name,quarter_label,country,year,deflated_gdp_usd,us_cpi,developed_country,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
8CWN2,13000 Tokyo,2021-Q4,Japan,2021,4247588558872.2593,127.389433729792,Yes,No,High income,Yes,Yes,Yes,Yes,0.0,High,Yes,Moderate,Low,Cfa,sentinel_2_13000_tokyo_2021-Q4.tif,viirs_13000_tokyo_2021-Q4.tif,2726.1217521559074
NBZUG,28000 Hyogo,2019-Q4,Japan,2019,4070264756531.522,117.9406160358257,Yes,No,High income,Yes,Yes,Yes,Yes,430.0,High,Yes,Moderate,Low,Cfa,sentinel_2_28000_hyogo_2019-Q4.tif,viirs_28000_hyogo_2019-Q4.tif,1856.066182284886
5RBC7,19000 Yamanashi,2019-Q2,Japan,2019,4070264756531.522,117.3681318135368,Yes,Yes,High income,No,No,Yes,Yes,110.0,Moderate,No,Moderate,Low,Cfa,sentinel_2_19000_yamanashi_2019-Q2.tif,viirs_19000_yamanashi_2019-Q2.tif,1816.875956200879
6WW8Y,31000 Tottori,2024-Q4,Japan,2024,3928801383782.808,144.7279859179582,Yes,No,High income,Yes,Yes,Yes,Yes,500.0,Moderate,No,Low,Low,Cfa,sentinel_2_31000_tottori_2024-Q4.tif,viirs_31000_tottori_2024-Q4.tif,1705.0237038929438
0L725,03000 Iwate,2023-Q2,Japan,2023,3993446887350.673,139.5056151606663,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,High,Yes,Low,Very Low,Dfa,sentinel_2_03000_iwate_2023-Q2.tif,viirs_03000_iwate_2023-Q2.tif,1528.038494165825
RPJ1E,10000 Gunma,2022-Q4,Japan,2022,3880440088794.578,136.4362131047677,Yes,Yes,High income,No,No,Yes,Yes,100.0,High,No,Low,Low,Cfa,sentinel_2_10000_gunma_2022-Q4.tif,viirs_10000_gunma_2022-Q4.tif,1516.243223607638
TZK3N,15000 Niigata,2020-Q3,Japan,2020,4069008481605.98,119.1285399053605,Yes,No,High income,Yes,Yes,Yes,Yes,250.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_15000_niigata_2020-Q3.tif,viirs_15000_niigata_2020-Q3.tif,2161.465206387008
JEGET,06000 Yamagata,2020-Q1,Japan,2020,4069008481605.98,118.4352913210933,Yes,Yes,High income,Yes,No,Yes,Yes,300.0,Moderate,Yes,Moderate,Low,Dfa,sentinel_2_06000_yamagata_2020-Q1.tif,viirs_06000_yamagata_2020-Q1.tif,1563.5068390058025
UWRXZ,30000 Wakayama,2021-Q3,Japan,2021,4247588558872.2593,125.4848727349994,Yes,No,High income,No,Yes,Yes,Yes,450.0,High,Yes,High,Low,Cfa,sentinel_2_30000_wakayama_2021-Q3.tif,viirs_30000_wakayama_2021-Q3.tif,1672.058748832966
SI9NB,12000 Chiba,2021-Q4,Japan,2021,4247588558872.2593,127.389433729792,Yes,No,High income,Yes,Yes,Yes,Yes,37.5,High,Yes,High,Low,Cfa,sentinel_2_12000_chiba_2021-Q4.tif,viirs_12000_chiba_2021-Q4.tif,1717.3267665699152
YWE1G,26000 Kyoto,2023-Q2,Japan,2023,3993446887350.673,139.5056151606663,Yes,Yes,High income,No,No,Yes,Yes,370.0,Moderate,No,Moderate,Low,Cfa,sentinel_2_26000_kyoto_2023-Q2.tif,viirs_26000_kyoto_2023-Q2.tif,1642.8214643453375
UPFLN,18000 Fukui,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,No,High income,No,Yes,Yes,Yes,320.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_18000_fukui_2021-Q1.tif,viirs_18000_fukui_2021-Q1.tif,1790.093932963981
3DO70,39000 Kochi,2021-Q4,Japan,2021,4247588558872.2593,127.389433729792,Yes,No,High income,Yes,Yes,Yes,Yes,625.0,High,Yes,High,Low,Cfa,sentinel_2_39000_kochi_2021-Q4.tif,viirs_39000_kochi_2021-Q4.tif,1932.8107413918208
ZN9DD,24000 Mie,2019-Q3,Japan,2019,4070264756531.522,117.6899153350103,Yes,No,High income,No,Yes,Yes,Yes,320.0,High,Yes,High,Low,Cfa,sentinel_2_24000_mie_2019-Q3.tif,viirs_24000_mie_2019-Q3.tif,1793.813494187579
XC7UR,44000 Oita,2021-Q2,Japan,2021,4247588558872.2593,123.5075473904579,Yes,No,High income,Yes,Yes,Yes,Yes,770.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_44000_oita_2021-Q2.tif,viirs_44000_oita_2021-Q2.tif,1768.709367079818
V3Z6B,25000 Shiga,2020-Q2,Japan,2020,4069008481605.98,117.7956988014519,Yes,Yes,High income,No,No,Yes,Yes,340.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_25000_shiga_2020-Q2.tif,viirs_25000_shiga_2020-Q2.tif,1972.2314753131195
Y1O2R,34000 Hiroshima,2023-Q2,Japan,2023,3993446887350.673,139.5056151606663,Yes,No,High income,Yes,Yes,Yes,Yes,680.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_34000_hiroshima_2023-Q2.tif,viirs_34000_hiroshima_2023-Q2.tif,1849.713710608573
CAZRP,44000 Oita,2024-Q4,Japan,2024,3928801383782.808,144.7279859179582,Yes,No,High income,Yes,Yes,Yes,Yes,770.0,Moderate,No,Moderate,Very Low,Cfa,sentinel_2_44000_oita_2024-Q4.tif,viirs_44000_oita_2024-Q4.tif,1698.0829381490391
J66CN,26000 Kyoto,2024-Q1,Japan,2024,3928801383782.808,142.3299725681459,Yes,Yes,High income,No,No,Yes,Yes,370.0,Moderate,No,Moderate,Low,Cfa,sentinel_2_26000_kyoto_2024-Q1.tif,viirs_26000_kyoto_2024-Q1.tif,2092.092230168884
FILKJ,36000 Tokushima,2023-Q2,Japan,2023,3993446887350.673,139.5056151606663,Yes,No,High income,Yes,Yes,Yes,Yes,500.0,High,Yes,High,Low,Cfa,sentinel_2_36000_tokushima_2023-Q2.tif,viirs_36000_tokushima_2023-Q2.tif,1652.0022150707084
JLZY1,29000 Nara,2024-Q3,Japan,2024,3928801383782.808,144.403145070865,Yes,Yes,High income,No,No,Yes,Yes,370.0,Moderate,Yes,Low,Very Low,Cfa,sentinel_2_29000_nara_2024-Q3.tif,viirs_29000_nara_2024-Q3.tif,1638.3824307765854
J4PNJ,34000 Hiroshima,2023-Q1,Japan,2023,3993446887350.673,137.8618440412342,Yes,No,High income,Yes,Yes,Yes,Yes,680.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_34000_hiroshima_2023-Q1.tif,viirs_34000_hiroshima_2023-Q1.tif,1688.2958645160948
YB7W8,46000 Kagoshima,2019-Q1,Japan,2019,4070264756531.522,115.9781187205398,Yes,No,High income,Yes,Yes,Yes,Yes,970.0,High,Yes,High,Low,Cfa,sentinel_2_46000_kagoshima_2019-Q1.tif,viirs_46000_kagoshima_2019-Q1.tif,1610.2856795542457
V83XP,35000 Yamaguchi,2019-Q2,Japan,2019,4070264756531.522,117.3681318135368,Yes,No,High income,Yes,Yes,Yes,Yes,800.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_35000_yamaguchi_2019-Q2.tif,viirs_35000_yamaguchi_2019-Q2.tif,1921.946839254708
YAR82,15000 Niigata,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,No,High income,Yes,Yes,Yes,Yes,250.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_15000_niigata_2021-Q1.tif,viirs_15000_niigata_2021-Q1.tif,1744.4765098953744
2W37D,10000 Gunma,2024-Q4,Japan,2024,3928801383782.808,144.7279859179582,Yes,Yes,High income,No,No,Yes,Yes,100.0,High,Yes,Low,Low,Cfa,sentinel_2_10000_gunma_2024-Q4.tif,viirs_10000_gunma_2024-Q4.tif,1610.3354322622845
6MM1Z,15000 Niigata,2022-Q4,Japan,2022,3880440088794.578,136.4362131047677,Yes,No,High income,Yes,Yes,Yes,Yes,250.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_15000_niigata_2022-Q4.tif,viirs_15000_niigata_2022-Q4.tif,1529.319958549199
58KXO,03000 Iwate,2024-Q2,Japan,2024,3928801383782.808,143.9682405014625,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,High,Yes,Low,Low,Dfa,sentinel_2_03000_iwate_2024-Q2.tif,viirs_03000_iwate_2024-Q2.tif,1438.2791821231256
BFXB4,42000 Nagasaki,2020-Q3,Japan,2020,4069008481605.98,119.1285399053605,Yes,No,High income,Yes,Yes,Yes,Yes,1200.0,Moderate,Yes,High,Low,Cfa,sentinel_2_42000_nagasaki_2020-Q3.tif,viirs_42000_nagasaki_2020-Q3.tif,2759.149129538569
GLH62,25000 Shiga,2019-Q1,Japan,2019,4070264756531.522,115.9781187205398,Yes,Yes,High income,No,No,Yes,Yes,340.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_25000_shiga_2019-Q1.tif,viirs_25000_shiga_2019-Q1.tif,1536.5560819964348
2QGV3,47000 Okinawa,2021-Q2,Japan,2021,4247588558872.2593,123.5075473904579,Yes,No,High income,Yes,Yes,Yes,Yes,1550.0,Moderate,Yes,High,Low,Cfa,sentinel_2_47000_okinawa_2021-Q2.tif,viirs_47000_okinawa_2021-Q2.tif,2693.688816100626
98BV7,25000 Shiga,2023-Q2,Japan,2023,3993446887350.673,139.5056151606663,Yes,Yes,High income,No,No,Yes,Yes,340.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_25000_shiga_2023-Q2.tif,viirs_25000_shiga_2023-Q2.tif,1556.198522937697
VE92M,05000 Akita,2022-Q4,Japan,2022,3880440088794.578,136.4362131047677,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,Moderate,Yes,Low,Very Low,Dfa,sentinel_2_05000_akita_2022-Q4.tif,viirs_05000_akita_2022-Q4.tif,1360.5407756331736
HZLM7,15000 Niigata,2023-Q3,Japan,2023,3993446887350.673,140.714328844415,Yes,No,High income,Yes,Yes,Yes,Yes,250.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_15000_niigata_2023-Q3.tif,viirs_15000_niigata_2023-Q3.tif,1652.351729770047
DIHSA,25000 Shiga,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,Yes,High income,No,No,Yes,Yes,340.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_25000_shiga_2021-Q1.tif,viirs_25000_shiga_2021-Q1.tif,1947.4680983015628
RNTDR,25000 Shiga,2024-Q4,Japan,2024,3928801383782.808,144.7279859179582,Yes,Yes,High income,No,No,Yes,Yes,340.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_25000_shiga_2024-Q4.tif,viirs_25000_shiga_2024-Q4.tif,1451.6760268999146
YOFQE,05000 Akita,2019-Q4,Japan,2019,4070264756531.522,117.9406160358257,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,Moderate,Yes,Low,Very Low,Dfa,sentinel_2_05000_akita_2019-Q4.tif,viirs_05000_akita_2019-Q4.tif,1654.4130016501765
M349E,19000 Yamanashi,2024-Q2,Japan,2024,3928801383782.808,143.9682405014625,Yes,Yes,High income,No,No,Yes,Yes,110.0,Moderate,No,Low,Very Low,Cfa,sentinel_2_19000_yamanashi_2024-Q2.tif,viirs_19000_yamanashi_2024-Q2.tif,2075.1754326184027
5NQJQ,26000 Kyoto,2021-Q4,Japan,2021,4247588558872.2593,127.389433729792,Yes,Yes,High income,Yes,No,Yes,Yes,370.0,Moderate,No,Moderate,Very Low,Cfa,sentinel_2_26000_kyoto_2021-Q4.tif,viirs_26000_kyoto_2021-Q4.tif,1894.8936548010813
K63N2,32000 Shimane,2019-Q2,Japan,2019,4070264756531.522,117.3681318135368,Yes,No,High income,Yes,Yes,Yes,Yes,650.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_32000_shimane_2019-Q2.tif,viirs_32000_shimane_2019-Q2.tif,1693.2548833215735
PWBSF,41000 Saga,2023-Q1,Japan,2023,3993446887350.673,137.8618440412342,Yes,No,High income,Yes,Yes,Yes,Yes,900.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_41000_saga_2023-Q1.tif,viirs_41000_saga_2023-Q1.tif,1341.7460147048464
AHTHS,40000 Fukuoka,2020-Q3,Japan,2020,4069008481605.98,119.1285399053605,Yes,No,High income,Yes,Yes,Yes,Yes,880.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_40000_fukuoka_2020-Q3.tif,viirs_40000_fukuoka_2020-Q3.tif,1921.7029306321228
JR0FZ,40000 Fukuoka,2020-Q4,Japan,2020,4069008481605.98,119.4024762808857,Yes,No,High income,Yes,Yes,Yes,Yes,880.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_40000_fukuoka_2020-Q4.tif,viirs_40000_fukuoka_2020-Q4.tif,1931.381807050956
ZEEDH,29000 Nara,2020-Q3,Japan,2020,4069008481605.98,119.1285399053605,Yes,Yes,High income,No,No,Yes,Yes,370.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_29000_nara_2020-Q3.tif,viirs_29000_nara_2020-Q3.tif,2376.281377872221
1B3D5,31000 Tottori,2020-Q4,Japan,2020,4069008481605.98,119.4024762808857,Yes,No,High income,Yes,Yes,Yes,Yes,500.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_31000_tottori_2020-Q4.tif,viirs_31000_tottori_2020-Q4.tif,1769.612951596597
B7SJW,37000 Kagawa,2024-Q4,Japan,2024,3928801383782.808,144.7279859179582,Yes,No,High income,Yes,Yes,Yes,Yes,540.0,Moderate,No,Moderate,Very Low,Cfa,sentinel_2_37000_kagawa_2024-Q4.tif,viirs_37000_kagawa_2024-Q4.tif,1866.2107457228308
D5EQY,09000 Tochigi,2020-Q1,Japan,2020,4069008481605.98,118.4352913210933,Yes,Yes,High income,No,No,Yes,Yes,100.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_09000_tochigi_2020-Q1.tif,viirs_09000_tochigi_2020-Q1.tif,1814.613950397328
K6RE4,13000 Tokyo,2023-Q3,Japan,2023,3993446887350.673,140.714328844415,Yes,No,High income,Yes,Yes,Yes,Yes,0.0,High,Yes,Moderate,Low,Cfa,sentinel_2_13000_tokyo_2023-Q3.tif,viirs_13000_tokyo_2023-Q3.tif,2432.790545293574
6DR08,45000 Miyazaki,2020-Q4,Japan,2020,4069008481605.98,119.4024762808857,Yes,No,High income,Yes,Yes,Yes,Yes,870.0,Moderate,Yes,High,Low,Cfa,sentinel_2_45000_miyazaki_2020-Q4.tif,viirs_45000_miyazaki_2020-Q4.tif,2193.755303244855
9TZE5,06000 Yamagata,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,No,High income,Yes,No,Yes,Yes,300.0,Moderate,Yes,Low,Low,Dfa,sentinel_2_06000_yamagata_2021-Q1.tif,viirs_06000_yamagata_2021-Q1.tif,2082.7015825700746
NTBZ3,44000 Oita,2023-Q3,Japan,2023,3993446887350.673,140.714328844415,Yes,No,High income,Yes,Yes,Yes,Yes,770.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_44000_oita_2023-Q3.tif,viirs_44000_oita_2023-Q3.tif,1675.673534349694
J70E3,17000 Ishikawa,2021-Q3,Japan,2021,4247588558872.2593,125.4848727349994,Yes,No,High income,Yes,Yes,Yes,Yes,270.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_17000_ishikawa_2021-Q3.tif,viirs_17000_ishikawa_2021-Q3.tif,1716.6803875044377
J5SXV,20000 Nagano,2024-Q3,Japan,2024,3928801383782.808,144.403145070865,Yes,Yes,High income,Yes,No,Yes,Yes,180.0,Moderate,Yes,Low,Very Low,Dfa,sentinel_2_20000_nagano_2024-Q3.tif,viirs_20000_nagano_2024-Q3.tif,2044.0444293039195
AUXBG,40000 Fukuoka,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,No,High income,Yes,Yes,Yes,Yes,880.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_40000_fukuoka_2021-Q1.tif,viirs_40000_fukuoka_2021-Q1.tif,1769.5968198930811
5HHIW,35000 Yamaguchi,2023-Q3,Japan,2023,3993446887350.673,140.714328844415,Yes,No,High income,Yes,Yes,Yes,Yes,800.0,Moderate,No,Moderate,Very Low,Cfa,sentinel_2_35000_yamaguchi_2023-Q3.tif,viirs_35000_yamaguchi_2023-Q3.tif,1756.481975425586
6CCVC,09000 Tochigi,2024-Q1,Japan,2024,3928801383782.808,142.3299725681459,Yes,Yes,High income,No,No,Yes,Yes,100.0,Moderate,Yes,Low,Very Low,Cfa,sentinel_2_09000_tochigi_2024-Q1.tif,viirs_09000_tochigi_2024-Q1.tif,1938.358836776824
OZX25,44000 Oita,2019-Q3,Japan,2019,4070264756531.522,117.6899153350103,Yes,No,High income,Yes,Yes,Yes,Yes,770.0,Moderate,Yes,High,Low,Cfa,sentinel_2_44000_oita_2019-Q3.tif,viirs_44000_oita_2019-Q3.tif,1610.3869393850373
Q6QDY,13000 Tokyo,2023-Q4,Japan,2023,3993446887350.673,140.8613862067226,Yes,No,High income,Yes,Yes,Yes,Yes,0.0,High,Yes,Moderate,Low,Cfa,sentinel_2_13000_tokyo_2023-Q4.tif,viirs_13000_tokyo_2023-Q4.tif,2829.2083958462053
ARAGD,47000 Okinawa,2023-Q1,Japan,2023,3993446887350.673,137.8618440412342,Yes,No,High income,Yes,Yes,Yes,Yes,1550.0,Moderate,Yes,High,Low,Cfa,sentinel_2_47000_okinawa_2023-Q1.tif,viirs_47000_okinawa_2023-Q1.tif,2039.013357560185
K9TR7,16000 Toyama,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,No,High income,Yes,Yes,Yes,Yes,260.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_16000_toyama_2021-Q1.tif,viirs_16000_toyama_2021-Q1.tif,1710.102075926499
YCZ04,23000 Aichi,2020-Q1,Japan,2020,4069008481605.98,118.4352913210933,Yes,No,High income,Yes,Yes,Yes,Yes,260.0,High,Yes,High,Low,Cfa,sentinel_2_23000_aichi_2020-Q1.tif,viirs_23000_aichi_2020-Q1.tif,1916.171582606475
CZUCQ,23000 Aichi,2021-Q3,Japan,2021,4247588558872.2593,125.4848727349994,Yes,No,High income,Yes,Yes,Yes,Yes,260.0,High,Yes,Moderate,Low,Cfa,sentinel_2_23000_aichi_2021-Q3.tif,viirs_23000_aichi_2021-Q3.tif,1836.5374614067705
CROYR,09000 Tochigi,2023-Q4,Japan,2023,3993446887350.673,140.8613862067226,Yes,Yes,High income,No,No,Yes,Yes,100.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_09000_tochigi_2023-Q4.tif,viirs_09000_tochigi_2023-Q4.tif,1452.874924912213
EHWJQ,42000 Nagasaki,2019-Q3,Japan,2019,4070264756531.522,117.6899153350103,Yes,No,High income,Yes,Yes,Yes,Yes,1200.0,Moderate,Yes,High,Low,Cfa,sentinel_2_42000_nagasaki_2019-Q3.tif,viirs_42000_nagasaki_2019-Q3.tif,2025.230189935398
UCC1M,39000 Kochi,2022-Q3,Japan,2022,3880440088794.578,135.9371046973515,Yes,No,High income,Yes,Yes,Yes,Yes,625.0,High,Yes,High,Low,Cfa,sentinel_2_39000_kochi_2022-Q3.tif,viirs_39000_kochi_2022-Q3.tif,1430.4411020528048
