geolocation_name,quarter_label,year,deflated_gdp_usd,us_cpi,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
33,1,2019,299682074191.28937,115.9781187205398,1,1,0,0,1,0,330.0,3,1,2,0,1,sentinel_2_abra_2019-Q1.tif,viirs_abra_2019-Q1.tif,178.06872669595893
34,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,800.0,2,1,2,0,0,sentinel_2_agusan_del_norte_2020-Q3.tif,viirs_agusan_del_norte_2020-Q3.tif,206.4482223303457
36,2,2021,332183318448.6994,123.5075473904579,1,1,1,0,1,0,1000.0,2,1,1,0,1,sentinel_2_south_cotabato_2021-Q2.tif,viirs_south_cotabato_2021-Q2.tif,153.4776091619691
28,2,2020,291244296180.30774,117.7956988014519,1,1,1,0,1,0,285.0,2,1,3,0,1,sentinel_2_isabela_2020-Q2.tif,viirs_isabela_2020-Q2.tif,169.24735051980565
39,3,2019,299682074191.28937,117.6899153350103,1,1,0,0,1,0,240.0,2,1,2,0,4,sentinel_2_ifugao_2019-Q3.tif,viirs_ifugao_2019-Q3.tif,124.55879739076364
20,3,2021,332183318448.6994,125.4848727349994,0,1,0,0,1,1,30.0,2,1,3,0,1,sentinel_2_bulacan_2021-Q3.tif,viirs_bulacan_2021-Q3.tif,188.78132785559427
41,4,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,750.0,3,1,3,0,0,sentinel_2_surigao_del_norte_2021-Q4.tif,viirs_surigao_del_norte_2021-Q4.tif,140.96768951609243
42,1,2019,299682074191.28937,115.9781187205398,1,1,0,0,1,0,210.0,3,0,3,0,4,sentinel_2_benguet_2019-Q1.tif,viirs_benguet_2019-Q1.tif,236.112644263592
43,2,2020,291244296180.30774,117.7956988014519,0,1,1,1,1,1,330.0,3,1,4,0,0,sentinel_2_albay_2020-Q2.tif,viirs_albay_2020-Q2.tif,164.7931628587885
23,4,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,500.0,2,1,3,0,0,sentinel_2_samar_2021-Q4.tif,viirs_samar_2021-Q4.tif,243.78689003546293
46,3,2019,299682074191.28937,117.6899153350103,1,1,0,0,1,0,280.0,3,0,1,0,4,sentinel_2_mountain_province_2019-Q3.tif,viirs_mountain_province_2019-Q3.tif,245.40414262823444
47,2,2020,291244296180.30774,117.7956988014519,0,1,1,1,1,0,130.0,2,1,3,0,1,sentinel_2_oriental_mindoro_2020-Q2.tif,viirs_oriental_mindoro_2020-Q2.tif,152.87136473190708
48,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,780.0,2,0,2,0,0,sentinel_2_camiguin_2019-Q3.tif,viirs_camiguin_2019-Q3.tif,149.05776632301553
49,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,580.0,1,0,1,0,1,sentinel_2_palawan_2019-Q3.tif,viirs_palawan_2019-Q3.tif,230.7129124465073
50,3,2021,332183318448.6994,125.4848727349994,1,1,0,0,1,0,110.0,2,1,2,1,1,sentinel_2_tarlac_2021-Q3.tif,viirs_tarlac_2021-Q3.tif,355.22336682582915
51,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,0,350.0,2,1,3,0,1,sentinel_2_cagayan_2019-Q2.tif,viirs_cagayan_2019-Q2.tif,230.8109418283658
4,1,2020,291244296180.30774,118.4352913210933,1,1,1,0,1,1,65.0,2,1,3,0,1,sentinel_2_pampanga_2020-Q1.tif,viirs_pampanga_2020-Q1.tif,214.77078116046772
32,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,400.0,2,1,3,0,1,sentinel_2_capiz_2021-Q2.tif,viirs_capiz_2021-Q2.tif,156.86817776087568
28,3,2021,332183318448.6994,125.4848727349994,1,1,1,0,1,0,285.0,2,1,3,0,1,sentinel_2_isabela_2021-Q3.tif,viirs_isabela_2021-Q3.tif,403.8669606878051
29,1,2019,299682074191.28937,115.9781187205398,0,1,0,1,1,0,790.0,2,1,2,0,0,sentinel_2_lanao_del_norte_2019-Q1.tif,viirs_lanao_del_norte_2019-Q1.tif,118.02167066191186
52,4,2021,332183318448.6994,127.389433729792,1,1,0,0,1,0,800.0,2,1,2,0,0,sentinel_2_agusan_del_sur_2021-Q4.tif,viirs_agusan_del_sur_2021-Q4.tif,384.85994415091017
62,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,115.0,2,1,3,0,1,sentinel_2_zambales_2019-Q3.tif,viirs_zambales_2019-Q3.tif,290.42083600099403
63,1,2020,291244296180.30774,118.4352913210933,0,1,0,1,1,0,640.0,2,1,3,0,0,sentinel_2_southern_leyte_2020-Q1.tif,viirs_southern_leyte_2020-Q1.tif,132.14489311921963
64,3,2019,299682074191.28937,117.6899153350103,0,1,0,0,1,0,1050.0,2,1,1,0,0,sentinel_2_davao_occidental_2019-Q3.tif,viirs_davao_occidental_2019-Q3.tif,146.8697617431454
65,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,780.0,2,1,2,0,0,sentinel_2_misamis_occidental_2020-Q3.tif,viirs_misamis_occidental_2020-Q3.tif,175.8983287397188
9,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,370.0,2,1,4,0,0,sentinel_2_catanduanes_2021-Q2.tif,viirs_catanduanes_2021-Q2.tif,339.7938657345474
67,2,2019,299682074191.28937,117.3681318135368,0,1,0,0,1,0,145.0,3,1,3,0,0,sentinel_2_aurora_2019-Q2.tif,viirs_aurora_2019-Q2.tif,152.3546899719535
3,3,2021,332183318448.6994,125.4848727349994,0,1,1,1,1,0,870.0,3,1,2,1,0,sentinel_2_cotabato_2021-Q3.tif,viirs_cotabato_2021-Q3.tif,319.1780745286265
71,4,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,690.0,2,1,2,0,1,sentinel_2_zamboanga_del_norte_2021-Q4.tif,viirs_zamboanga_del_norte_2021-Q4.tif,106.09923603789032
74,4,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,95.0,2,1,3,0,1,sentinel_2_quezon_2021-Q4.tif,viirs_quezon_2021-Q4.tif,238.52947125494703
75,4,2019,299682074191.28937,117.9406160358257,0,1,1,1,1,0,850.0,3,1,3,0,0,sentinel_2_surigao_del_sur_2019-Q4.tif,viirs_surigao_del_sur_2019-Q4.tif,175.39690484011513
5,4,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,410.0,2,1,2,0,1,sentinel_2_antique_2020-Q4.tif,viirs_antique_2020-Q4.tif,258.92783642535227
76,2,2019,299682074191.28937,117.3681318135368,0,1,0,1,1,0,1030.0,2,1,2,0,0,sentinel_2_sarangani_2019-Q2.tif,viirs_sarangani_2019-Q2.tif,133.65563676254132
64,3,2020,291244296180.30774,119.1285399053605,0,1,0,1,1,0,1050.0,2,1,2,0,0,sentinel_2_davao_occidental_2020-Q3.tif,viirs_davao_occidental_2020-Q3.tif,253.4481428645265
78,3,2020,291244296180.30774,119.1285399053605,0,1,0,1,1,0,85.0,3,1,3,0,1,sentinel_2_batangas_2020-Q3.tif,viirs_batangas_2020-Q3.tif,216.49701211708333
64,3,2021,332183318448.6994,125.4848727349994,0,1,0,0,1,0,1050.0,2,1,1,0,0,sentinel_2_davao_occidental_2021-Q3.tif,viirs_davao_occidental_2021-Q3.tif,198.90013951360297
79,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,630.0,2,1,2,0,1,sentinel_2_bohol_2019-Q1.tif,viirs_bohol_2019-Q1.tif,155.66099038130363
80,3,2021,332183318448.6994,125.4848727349994,1,1,0,0,1,0,340.0,2,1,2,0,1,sentinel_2_kalinga_2021-Q3.tif,viirs_kalinga_2021-Q3.tif,252.3344459948905
82,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,170.0,2,0,3,0,1,sentinel_2_marinduque_2021-Q2.tif,viirs_marinduque_2021-Q2.tif,195.5951243802564
9,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,370.0,2,1,4,0,0,sentinel_2_catanduanes_2020-Q3.tif,viirs_catanduanes_2020-Q3.tif,445.0324848609527
83,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,630.0,2,1,2,0,1,sentinel_2_negros_oriental_2019-Q3.tif,viirs_negros_oriental_2019-Q3.tif,183.28249598343507
84,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,570.0,2,0,2,0,1,sentinel_2_siquijor_2019-Q1.tif,viirs_siquijor_2019-Q1.tif,200.8916410006034
85,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,1,260.0,2,1,3,0,1,sentinel_2_camarines_sur_2019-Q1.tif,viirs_camarines_sur_2019-Q1.tif,197.71317932356345
86,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,400.0,2,1,3,0,2,sentinel_2_ilocos_norte_2021-Q2.tif,viirs_ilocos_norte_2021-Q2.tif,210.7480985652168
75,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,850.0,3,1,3,0,0,sentinel_2_surigao_del_sur_2021-Q2.tif,viirs_surigao_del_sur_2021-Q2.tif,147.14714327807087
76,4,2021,332183318448.6994,127.389433729792,0,1,0,1,1,0,1030.0,2,1,2,0,0,sentinel_2_sarangani_2021-Q4.tif,viirs_sarangani_2021-Q4.tif,157.07352758358232
62,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,115.0,2,1,3,0,1,sentinel_2_zambales_2020-Q1.tif,viirs_zambales_2020-Q1.tif,236.33134943584287
43,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,330.0,3,1,4,1,0,sentinel_2_albay_2019-Q3.tif,viirs_albay_2019-Q3.tif,259.6831624072456
87,4,2019,299682074191.28937,117.9406160358257,0,1,1,1,1,0,460.0,2,1,3,0,1,sentinel_2_iloilo_2019-Q4.tif,viirs_iloilo_2019-Q4.tif,222.3253165291887
82,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,170.0,2,1,2,0,1,sentinel_2_marinduque_2019-Q1.tif,viirs_marinduque_2019-Q1.tif,161.0840950197984
42,3,2021,332183318448.6994,125.4848727349994,1,1,0,0,1,0,210.0,3,0,3,0,4,sentinel_2_benguet_2021-Q3.tif,viirs_benguet_2021-Q3.tif,257.4827256924674
89,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,970.0,2,1,2,0,0,sentinel_2_davao_del_norte_2020-Q3.tif,viirs_davao_del_norte_2020-Q3.tif,178.31532928597608
90,2,2020,291244296180.30774,117.7956988014519,1,1,0,0,1,0,820.0,2,0,2,0,1,sentinel_2_bukidnon_2020-Q2.tif,viirs_bukidnon_2020-Q2.tif,198.00837337352667
91,3,2020,291244296180.30774,119.1285399053605,0,2,1,1,1,1,0.0,3,1,3,0,1,sentinel_2_national_capital_region_2020-Q3.tif,viirs_national_capital_region_2020-Q3.tif,324.04583946653867
92,3,2021,332183318448.6994,125.4848727349994,0,1,0,0,1,1,57.5,2,1,2,0,1,sentinel_2_laguna_2021-Q3.tif,viirs_laguna_2021-Q3.tif,232.17237426613084
80,3,2019,299682074191.28937,117.6899153350103,1,1,0,0,1,0,340.0,2,1,2,0,1,sentinel_2_kalinga_2019-Q3.tif,viirs_kalinga_2019-Q3.tif,209.68365979239044
93,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,0,480.0,2,1,2,0,1,sentinel_2_negros_occidental_2019-Q2.tif,viirs_negros_occidental_2019-Q2.tif,249.6863175341793
94,4,2021,332183318448.6994,127.389433729792,0,1,0,1,1,0,220.0,2,1,3,0,1,sentinel_2_camarines_norte_2021-Q4.tif,viirs_camarines_norte_2021-Q4.tif,219.2682150771411
79,4,2019,299682074191.28937,117.9406160358257,0,1,1,1,1,0,630.0,2,1,2,0,1,sentinel_2_bohol_2019-Q4.tif,viirs_bohol_2019-Q4.tif,182.90790296091564
42,4,2021,332183318448.6994,127.389433729792,1,1,0,0,1,0,210.0,3,0,3,0,4,sentinel_2_benguet_2021-Q4.tif,viirs_benguet_2021-Q4.tif,326.7766472427772
30,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,0,150.0,2,1,3,0,1,sentinel_2_occidental_mindoro_2019-Q2.tif,viirs_occidental_mindoro_2019-Q2.tif,171.07206593399775
9,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,0,370.0,2,1,4,0,0,sentinel_2_catanduanes_2019-Q2.tif,viirs_catanduanes_2019-Q2.tif,123.64848593044913
47,2,2019,299682074191.28937,117.3681318135368,0,1,0,1,1,0,130.0,2,1,3,0,1,sentinel_2_oriental_mindoro_2019-Q2.tif,viirs_oriental_mindoro_2019-Q2.tif,195.8341767322802
87,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,460.0,2,1,3,0,1,sentinel_2_iloilo_2020-Q1.tif,viirs_iloilo_2020-Q1.tif,190.29156277064453
50,4,2019,299682074191.28937,117.9406160358257,1,1,0,0,1,0,110.0,2,1,2,0,1,sentinel_2_tarlac_2019-Q4.tif,viirs_tarlac_2019-Q4.tif,196.05109536574096
19,4,2021,332183318448.6994,127.389433729792,0,1,1,1,1,0,970.0,3,1,1,0,0,sentinel_2_davao_del_sur_2021-Q4.tif,viirs_davao_del_sur_2021-Q4.tif,258.61264710206564
95,4,2019,299682074191.28937,117.9406160358257,0,1,0,1,1,0,33.0,2,1,3,0,1,sentinel_2_cavite_2019-Q4.tif,viirs_cavite_2019-Q4.tif,205.36590355524268
78,3,2021,332183318448.6994,125.4848727349994,0,1,0,1,1,0,85.0,3,1,3,0,1,sentinel_2_batangas_2021-Q3.tif,viirs_batangas_2021-Q3.tif,273.46549889402945
74,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,1,95.0,2,1,3,0,1,sentinel_2_quezon_2019-Q2.tif,viirs_quezon_2019-Q2.tif,193.4213585221564
92,1,2021,332183318448.6994,120.6838014481023,0,1,0,0,1,1,57.5,2,1,2,0,1,sentinel_2_laguna_2021-Q1.tif,viirs_laguna_2021-Q1.tif,308.2277318036149
50,1,2019,299682074191.28937,115.9781187205398,1,1,0,0,1,0,110.0,2,1,2,0,1,sentinel_2_tarlac_2019-Q1.tif,viirs_tarlac_2019-Q1.tif,167.4021981772305
0,4,2020,291244296180.30774,119.4024762808857,0,1,0,1,0,0,770.0,2,1,3,0,0,sentinel_2_dinagat_islands_2020-Q4.tif,viirs_dinagat_islands_2020-Q4.tif,163.83623351023658
62,3,2021,332183318448.6994,125.4848727349994,0,1,0,1,1,0,115.0,2,1,3,0,1,sentinel_2_zambales_2021-Q3.tif,viirs_zambales_2021-Q3.tif,234.19537199707088
18,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,350.0,2,1,3,0,1,sentinel_2_aklan_2020-Q1.tif,viirs_aklan_2020-Q1.tif,273.0620981305201
96,1,2020,291244296180.30774,118.4352913210933,0,0,0,1,1,0,880.0,2,0,2,0,0,sentinel_2_basilan_2020-Q1.tif,viirs_basilan_2020-Q1.tif,117.874461025641
97,3,2019,299682074191.28937,117.6899153350103,0,1,0,1,1,0,340.0,2,1,2,0,2,sentinel_2_ilocos_sur_2019-Q3.tif,viirs_ilocos_sur_2019-Q3.tif,190.7581285256965
19,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,970.0,3,1,1,0,0,sentinel_2_davao_del_sur_2021-Q2.tif,viirs_davao_del_sur_2021-Q2.tif,231.2902188792511
99,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,570.0,3,1,4,0,0,sentinel_2_eastern_samar_2019-Q3.tif,viirs_eastern_samar_2019-Q3.tif,264.8602510337451
82,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,170.0,2,1,3,0,1,sentinel_2_marinduque_2020-Q1.tif,viirs_marinduque_2020-Q1.tif,185.87849022391583
100,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,790.0,2,1,1,0,0,sentinel_2_zamboanga_del_sur_2019-Q3.tif,viirs_zamboanga_del_sur_2019-Q3.tif,254.54581412033025
19,2,2020,291244296180.30774,117.7956988014519,0,1,1,1,1,0,970.0,3,1,2,0,0,sentinel_2_davao_del_sur_2020-Q2.tif,viirs_davao_del_sur_2020-Q2.tif,226.0752252461457
85,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,1,260.0,2,1,3,0,1,sentinel_2_camarines_sur_2019-Q2.tif,viirs_camarines_sur_2019-Q2.tif,272.77556852112457
48,3,2021,332183318448.6994,125.4848727349994,0,1,1,1,1,0,780.0,2,0,2,0,0,sentinel_2_camiguin_2021-Q3.tif,viirs_camiguin_2021-Q3.tif,120.37395934867732
101,4,2021,332183318448.6994,127.389433729792,1,1,0,0,1,0,195.0,2,0,2,0,1,sentinel_2_nueva_vizcaya_2021-Q4.tif,viirs_nueva_vizcaya_2021-Q4.tif,253.75186132557005
99,1,2021,332183318448.6994,120.6838014481023,0,1,1,1,1,0,570.0,3,1,4,0,0,sentinel_2_eastern_samar_2021-Q1.tif,viirs_eastern_samar_2021-Q1.tif,299.87918306932704
30,3,2021,332183318448.6994,125.4848727349994,0,1,1,1,1,0,150.0,2,1,2,0,1,sentinel_2_occidental_mindoro_2021-Q3.tif,viirs_occidental_mindoro_2021-Q3.tif,266.3542616788637
103,4,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,950.0,2,1,2,0,0,sentinel_2_sultan_kudarat_2020-Q4.tif,viirs_sultan_kudarat_2020-Q4.tif,334.6919900482391
104,2,2021,332183318448.6994,123.5075473904579,0,1,0,1,1,0,260.0,2,1,3,0,1,sentinel_2_la_union_2021-Q2.tif,viirs_la_union_2021-Q2.tif,228.80668001597988
46,4,2019,299682074191.28937,117.9406160358257,1,1,0,0,1,0,280.0,3,0,1,0,4,sentinel_2_mountain_province_2019-Q4.tif,viirs_mountain_province_2019-Q4.tif,120.23260721230449
105,2,2021,332183318448.6994,123.5075473904579,0,1,0,1,1,0,470.0,2,0,3,0,1,sentinel_2_guimaras_2021-Q2.tif,viirs_guimaras_2021-Q2.tif,184.76898462367663
107,1,2021,332183318448.6994,120.6838014481023,0,1,1,1,1,0,270.0,2,1,3,0,1,sentinel_2_romblon_2021-Q1.tif,viirs_romblon_2021-Q1.tif,175.66871351019097
95,2,2020,291244296180.30774,117.7956988014519,0,1,0,1,1,0,33.0,2,1,3,0,1,sentinel_2_cavite_2020-Q2.tif,viirs_cavite_2020-Q2.tif,204.22540169245087
99,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,570.0,3,1,4,0,0,sentinel_2_eastern_samar_2020-Q1.tif,viirs_eastern_samar_2020-Q1.tif,282.66217000764567
75,3,2021,332183318448.6994,125.4848727349994,0,1,1,1,1,0,850.0,3,1,3,0,0,sentinel_2_surigao_del_sur_2021-Q3.tif,viirs_surigao_del_sur_2021-Q3.tif,220.12480488862323
90,3,2020,291244296180.30774,119.1285399053605,1,1,0,0,1,0,820.0,2,0,2,0,1,sentinel_2_bukidnon_2020-Q3.tif,viirs_bukidnon_2020-Q3.tif,161.95800243534225
108,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,170.0,2,1,3,0,1,sentinel_2_pangasinan_2020-Q3.tif,viirs_pangasinan_2020-Q3.tif,275.1601643206956
39,2,2021,332183318448.6994,123.5075473904579,1,1,0,0,1,0,240.0,2,0,2,0,4,sentinel_2_ifugao_2021-Q2.tif,viirs_ifugao_2021-Q2.tif,148.8305317086454
50,3,2020,291244296180.30774,119.1285399053605,1,1,0,0,1,0,110.0,2,1,3,0,1,sentinel_2_tarlac_2020-Q3.tif,viirs_tarlac_2020-Q3.tif,200.50381194223888
47,4,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,130.0,2,1,3,0,1,sentinel_2_oriental_mindoro_2020-Q4.tif,viirs_oriental_mindoro_2020-Q4.tif,200.6418820763368
33,4,2019,299682074191.28937,117.9406160358257,1,1,0,0,1,0,330.0,3,1,2,0,1,sentinel_2_abra_2019-Q4.tif,viirs_abra_2019-Q4.tif,182.868097319878
109,1,2019,299682074191.28937,115.9781187205398,0,1,0,1,1,0,570.0,2,1,3,0,0,sentinel_2_biliran_2019-Q1.tif,viirs_biliran_2019-Q1.tif,241.21567910205195
63,1,2019,299682074191.28937,115.9781187205398,0,1,0,1,1,0,640.0,2,1,3,0,0,sentinel_2_southern_leyte_2019-Q1.tif,viirs_southern_leyte_2019-Q1.tif,176.8890147858033
103,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,950.0,2,1,2,0,0,sentinel_2_sultan_kudarat_2020-Q1.tif,viirs_sultan_kudarat_2020-Q1.tif,218.58638064687904
108,1,2021,332183318448.6994,120.6838014481023,0,1,1,1,1,0,170.0,2,1,3,0,1,sentinel_2_pangasinan_2021-Q1.tif,viirs_pangasinan_2021-Q1.tif,200.71884430891987
3,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,870.0,3,1,2,1,0,sentinel_2_cotabato_2021-Q2.tif,viirs_cotabato_2021-Q2.tif,184.99081119952257
5,2,2020,291244296180.30774,117.7956988014519,0,1,1,1,1,0,410.0,2,1,2,0,1,sentinel_2_antique_2020-Q2.tif,viirs_antique_2020-Q2.tif,139.32154285104917
112,3,2019,299682074191.28937,117.6899153350103,0,1,0,1,1,0,950.0,2,1,3,0,0,sentinel_2_davao_oriental_2019-Q3.tif,viirs_davao_oriental_2019-Q3.tif,229.8741085950496
108,2,2021,332183318448.6994,123.5075473904579,0,1,1,1,1,0,170.0,2,1,3,0,1,sentinel_2_pangasinan_2021-Q2.tif,viirs_pangasinan_2021-Q2.tif,442.40500033797065
83,4,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,630.0,2,1,2,0,1,sentinel_2_negros_oriental_2020-Q4.tif,viirs_negros_oriental_2020-Q4.tif,178.89316703580903
113,2,2019,299682074191.28937,117.3681318135368,0,1,0,1,1,0,820.0,2,1,2,0,0,sentinel_2_zamboanga_sibugay_2019-Q2.tif,viirs_zamboanga_sibugay_2019-Q2.tif,103.4138757724612
93,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,480.0,2,1,2,0,1,sentinel_2_negros_occidental_2020-Q3.tif,viirs_negros_occidental_2020-Q3.tif,210.91305750823736
85,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,1,260.0,2,1,3,0,1,sentinel_2_camarines_sur_2019-Q3.tif,viirs_camarines_sur_2019-Q3.tif,245.3830138056275
114,4,2019,299682074191.28937,117.9406160358257,0,1,1,1,1,0,570.0,2,1,2,0,1,sentinel_2_cebu_2019-Q4.tif,viirs_cebu_2019-Q4.tif,219.3687800490337
75,3,2019,299682074191.28937,117.6899153350103,0,1,1,1,1,0,850.0,3,1,3,0,0,sentinel_2_surigao_del_sur_2019-Q3.tif,viirs_surigao_del_sur_2019-Q3.tif,158.34287485679772
46,3,2020,291244296180.30774,119.1285399053605,1,1,0,0,1,0,280.0,3,0,2,0,4,sentinel_2_mountain_province_2020-Q3.tif,viirs_mountain_province_2020-Q3.tif,464.04372103445496
24,2,2019,299682074191.28937,117.3681318135368,0,1,1,1,1,0,470.0,2,1,3,0,0,sentinel_2_northern_samar_2019-Q2.tif,viirs_northern_samar_2019-Q2.tif,194.20521071651416
92,1,2019,299682074191.28937,115.9781187205398,0,1,0,0,1,1,57.5,2,1,2,0,1,sentinel_2_laguna_2019-Q1.tif,viirs_laguna_2019-Q1.tif,209.297548142908
90,4,2020,291244296180.30774,119.4024762808857,1,1,0,0,1,0,820.0,2,0,2,0,1,sentinel_2_bukidnon_2020-Q4.tif,viirs_bukidnon_2020-Q4.tif,157.04562558000995
